scan_id,frame_index_0based,mapping_image,selection
flow01,0,qc/flow01_Bscan000_mapping.png,fixed_original15_uniform_flow03_or_gap_relock_neighborhood
flow01,49,qc/flow01_Bscan049_mapping.png,fixed_original15_uniform_flow03_or_gap_relock_neighborhood
flow01,99,qc/flow01_Bscan099_mapping.png,fixed_original15_uniform_flow03_or_gap_relock_neighborhood
flow01,149,qc/flow01_Bscan149_mapping.png,fixed_original15_uniform_flow03_or_gap_relock_neighborhood
flow01,199,qc/flow01_Bscan199_mapping.png,fixed_original15_uniform_flow03_or_gap_relock_neighborhood
flow01,249,qc/flow01_Bscan249_mapping.png,fixed_original15_uniform_flow03_or_gap_relock_neighborhood
flow01,299,qc/flow01_Bscan299_mapping.png,fixed_original15_uniform_flow03_or_gap_relock_neighborhood
flow01,349,qc/flow01_Bscan349_mapping.png,fixed_original15_uniform_flow03_or_gap_relock_neighborhood
flow01,399,qc/flow01_Bscan399_mapping.png,fixed_original15_uniform_flow03_or_gap_relock_neighborhood
flow01,449,qc/flow01_Bscan449_mapping.png,fixed_original15_uniform_flow03_or_gap_relock_neighborhood
flow01,497,qc/flow01_Bscan497_mapping.png,fixed_original15_uniform_flow03_or_gap_relock_neighborhood
flow01,498,qc/flow01_Bscan498_mapping.png,fixed_original15_uniform_flow03_or_gap_relock_neighborhood
flow01,499,qc/flow01_Bscan499_mapping.png,fixed_original15_uniform_flow03_or_gap_relock_neighborhood
flow03,0,qc/flow03_Bscan000_mapping.png,fixed_original15_uniform_flow03_or_gap_relock_neighborhood
flow03,13,qc/flow03_Bscan013_mapping.png,fixed_original15_uniform_flow03_or_gap_relock_neighborhood
flow03,14,qc/flow03_Bscan014_mapping.png,fixed_original15_uniform_flow03_or_gap_relock_neighborhood
flow03,19,qc/flow03_Bscan019_mapping.png,fixed_original15_uniform_flow03_or_gap_relock_neighborhood
flow03,20,qc/flow03_Bscan020_mapping.png,fixed_original15_uniform_flow03_or_gap_relock_neighborhood
flow03,22,qc/flow03_Bscan022_mapping.png,fixed_original15_uniform_flow03_or_gap_relock_neighborhood
flow03,23,qc/flow03_Bscan023_mapping.png,fixed_original15_uniform_flow03_or_gap_relock_neighborhood
flow03,49,qc/flow03_Bscan049_mapping.png,fixed_original15_uniform_flow03_or_gap_relock_neighborhood
flow03,99,qc/flow03_Bscan099_mapping.png,fixed_original15_uniform_flow03_or_gap_relock_neighborhood
flow03,149,qc/flow03_Bscan149_mapping.png,fixed_original15_uniform_flow03_or_gap_relock_neighborhood
flow03,194,qc/flow03_Bscan194_mapping.png,fixed_original15_uniform_flow03_or_gap_relock_neighborhood
flow03,195,qc/flow03_Bscan195_mapping.png,fixed_original15_uniform_flow03_or_gap_relock_neighborhood
flow03,199,qc/flow03_Bscan199_mapping.png,fixed_original15_uniform_flow03_or_gap_relock_neighborhood
flow03,212,qc/flow03_Bscan212_mapping.png,fixed_original15_uniform_flow03_or_gap_relock_neighborhood
flow03,213,qc/flow03_Bscan213_mapping.png,fixed_original15_uniform_flow03_or_gap_relock_neighborhood
flow03,215,qc/flow03_Bscan215_mapping.png,fixed_original15_uniform_flow03_or_gap_relock_neighborhood
flow03,216,qc/flow03_Bscan216_mapping.png,fixed_original15_uniform_flow03_or_gap_relock_neighborhood
flow03,249,qc/flow03_Bscan249_mapping.png,fixed_original15_uniform_flow03_or_gap_relock_neighborhood
flow03,299,qc/flow03_Bscan299_mapping.png,fixed_original15_uniform_flow03_or_gap_relock_neighborhood
flow03,349,qc/flow03_Bscan349_mapping.png,fixed_original15_uniform_flow03_or_gap_relock_neighborhood
flow03,399,qc/flow03_Bscan399_mapping.png,fixed_original15_uniform_flow03_or_gap_relock_neighborhood
flow03,420,qc/flow03_Bscan420_mapping.png,fixed_original15_uniform_flow03_or_gap_relock_neighborhood
flow03,423,qc/flow03_Bscan423_mapping.png,fixed_original15_uniform_flow03_or_gap_relock_neighborhood
