file,bytes,sha256,download_url,server_digest_matches,head_1024_bytes_match,tail_1024_bytes_match,head_sha256,tail_sha256,full_redownload,verified_via
formal_sv_d128_v21_full2500_run001_flow01_000_099.zip,435917718,e8a8a460e05bac82eb6a37ded5a09e53654c6a6fe43132513fba802374080308,https://github.com/bulbel-magnolia/OCTA-/releases/download/formal-sv-d128-v21-run001/formal_sv_d128_v21_full2500_run001_flow01_000_099.zip,True,True,True,95aad59ca781a5a256b24f783d5076b9ded7516dd877eacb49f0a18419d040ff,7bd913a7780f7fafaf76ce3c5ab79daff550ef3b106545bf88bfa32cdc221400,False,https://github.com/bulbel-magnolia/OCTA-/releases/download/formal-sv-d128-v21-run001/formal_sv_d128_v21_full2500_run001_flow01_000_099.zip
formal_sv_d128_v21_full2500_run001_flow01_100_199.zip,435260738,26e141495d1bfe3f8fe408d36dd2e27c3ea11ce08944a36d086f451e1a6b7164,https://github.com/bulbel-magnolia/OCTA-/releases/download/formal-sv-d128-v21-run001/formal_sv_d128_v21_full2500_run001_flow01_100_199.zip,True,True,True,95aad59ca781a5a256b24f783d5076b9ded7516dd877eacb49f0a18419d040ff,289c076fc50aefd2301b2ab5a362780644d53679d90a0fb23ef46d51ace25258,False,https://github.com/bulbel-magnolia/OCTA-/releases/download/formal-sv-d128-v21-run001/formal_sv_d128_v21_full2500_run001_flow01_100_199.zip
formal_sv_d128_v21_full2500_run001_flow01_200_299.zip,435164102,b7a8319a7474201531fc05b01da98c67a1ad95e21f14c7802fe7e297032df13e,https://github.com/bulbel-magnolia/OCTA-/releases/download/formal-sv-d128-v21-run001/formal_sv_d128_v21_full2500_run001_flow01_200_299.zip,True,True,True,95aad59ca781a5a256b24f783d5076b9ded7516dd877eacb49f0a18419d040ff,d04eefb99b6bb94845caaf681abbfbbbb03330f37cb418bd3abe64661d3e654f,False,https://github.com/bulbel-magnolia/OCTA-/releases/download/formal-sv-d128-v21-run001/formal_sv_d128_v21_full2500_run001_flow01_200_299.zip
formal_sv_d128_v21_full2500_run001_flow01_300_399.zip,435218686,d4ae06c7b7d5d3caf0307bc80cdd53ac0fa57f75d9faed1d2da789d4bfaaddd2,https://github.com/bulbel-magnolia/OCTA-/releases/download/formal-sv-d128-v21-run001/formal_sv_d128_v21_full2500_run001_flow01_300_399.zip,True,True,True,95aad59ca781a5a256b24f783d5076b9ded7516dd877eacb49f0a18419d040ff,5f414b269c55a5053950f3dc92a682e7e7e3bb627c9c0f25482075602c9ca429,False,https://github.com/bulbel-magnolia/OCTA-/releases/download/formal-sv-d128-v21-run001/formal_sv_d128_v21_full2500_run001_flow01_300_399.zip
formal_sv_d128_v21_full2500_run001_flow01_400_499.zip,435829745,d9035c98c251f51956b36318391ab3871bf2322cdf93ff161c9506fa8e2d80d0,https://github.com/bulbel-magnolia/OCTA-/releases/download/formal-sv-d128-v21-run001/formal_sv_d128_v21_full2500_run001_flow01_400_499.zip,True,True,True,95aad59ca781a5a256b24f783d5076b9ded7516dd877eacb49f0a18419d040ff,95685bc0c3dcd3ae8c04de6de55757a0f61c7ba1a0a51260570e77d3f699c8ec,False,https://github.com/bulbel-magnolia/OCTA-/releases/download/formal-sv-d128-v21-run001/formal_sv_d128_v21_full2500_run001_flow01_400_499.zip
formal_sv_d128_v21_full2500_run001_flow03_000_099.zip,438595724,d66ff635fa6a821fe71f460651f7cde15012577131e7015069fff4f98e8d5cc2,https://github.com/bulbel-magnolia/OCTA-/releases/download/formal-sv-d128-v21-run001/formal_sv_d128_v21_full2500_run001_flow03_000_099.zip,True,True,True,95aad59ca781a5a256b24f783d5076b9ded7516dd877eacb49f0a18419d040ff,c9d068043551f4a8d6d411903cd3e0e0888e50ba841210a9fe5f4acb2c6c79cd,False,https://github.com/bulbel-magnolia/OCTA-/releases/download/formal-sv-d128-v21-run001/formal_sv_d128_v21_full2500_run001_flow03_000_099.zip
formal_sv_d128_v21_full2500_run001_flow03_100_199.zip,435137016,ce76cd77680faa38690d6b257afdada10f8c73a532683ad0e096e13885690741,https://github.com/bulbel-magnolia/OCTA-/releases/download/formal-sv-d128-v21-run001/formal_sv_d128_v21_full2500_run001_flow03_100_199.zip,True,True,True,95aad59ca781a5a256b24f783d5076b9ded7516dd877eacb49f0a18419d040ff,d47379e3a0b72f157f5e9e53083ef07aff5e0c6cb2801037a86dda91cbd094bd,False,https://github.com/bulbel-magnolia/OCTA-/releases/download/formal-sv-d128-v21-run001/formal_sv_d128_v21_full2500_run001_flow03_100_199.zip
formal_sv_d128_v21_full2500_run001_flow03_200_299.zip,436583974,b80d8f854062c1ae68ed5fab8847f60581c44fb6d578c42b332985acff5178af,https://github.com/bulbel-magnolia/OCTA-/releases/download/formal-sv-d128-v21-run001/formal_sv_d128_v21_full2500_run001_flow03_200_299.zip,True,True,True,95aad59ca781a5a256b24f783d5076b9ded7516dd877eacb49f0a18419d040ff,9675232d79fa91f3484918e5ca1425eb65f7579267fd5708fb4423c438f756b6,False,https://github.com/bulbel-magnolia/OCTA-/releases/download/formal-sv-d128-v21-run001/formal_sv_d128_v21_full2500_run001_flow03_200_299.zip
formal_sv_d128_v21_full2500_run001_flow03_300_399.zip,435024248,6ff2c104a82a1c9ff72f61d8e6d216dc25f7df5e5d65ec66f718bac2c0f9bb78,https://github.com/bulbel-magnolia/OCTA-/releases/download/formal-sv-d128-v21-run001/formal_sv_d128_v21_full2500_run001_flow03_300_399.zip,True,True,True,95aad59ca781a5a256b24f783d5076b9ded7516dd877eacb49f0a18419d040ff,0f20174f09b7e60fbdc96d24168f65025c7c728171e499c5f0062ff44efcb449,False,https://github.com/bulbel-magnolia/OCTA-/releases/download/formal-sv-d128-v21-run001/formal_sv_d128_v21_full2500_run001_flow03_300_399.zip
formal_sv_d128_v21_full2500_run001_flow03_400_499.zip,441734278,eb02f77e53803ba0edf9ea5c6928536f3e954571d0b6308b5885d6d9a6cefb3a,https://github.com/bulbel-magnolia/OCTA-/releases/download/formal-sv-d128-v21-run001/formal_sv_d128_v21_full2500_run001_flow03_400_499.zip,True,True,True,95aad59ca781a5a256b24f783d5076b9ded7516dd877eacb49f0a18419d040ff,72836e8dc021d9729e50c9abe25e19b3652c0d0a2d637fe2aaa17eba1e737a13,False,https://github.com/bulbel-magnolia/OCTA-/releases/download/formal-sv-d128-v21-run001/formal_sv_d128_v21_full2500_run001_flow03_400_499.zip
