scan_id,frame_id,status,detected,detectable_length_um,right_censored,evaluable,not_evaluable_reason,blank_profile_key
flow01,flow01_Bscan000,not_run_missing_matched_blank_profiles,False,,False,False,matched blank profiles not supplied,
flow01,flow01_Bscan249,not_run_missing_matched_blank_profiles,False,,False,False,matched blank profiles not supplied,
flow01,flow01_Bscan499,not_run_missing_matched_blank_profiles,False,,False,False,matched blank profiles not supplied,
flow03,flow03_Bscan000,not_run_missing_matched_blank_profiles,False,,False,False,matched blank profiles not supplied,
flow03,flow03_Bscan249,not_run_missing_matched_blank_profiles,False,,False,False,matched blank profiles not supplied,
flow03,flow03_Bscan499,not_run_missing_matched_blank_profiles,False,,False,False,matched blank profiles not supplied,
flow05,flow05_Bscan000,not_run_missing_matched_blank_profiles,False,,False,False,matched blank profiles not supplied,
flow05,flow05_Bscan249,not_run_missing_matched_blank_profiles,False,,False,False,matched blank profiles not supplied,
flow05,flow05_Bscan499,not_run_missing_matched_blank_profiles,False,,False,False,matched blank profiles not supplied,
flow07,flow07_Bscan000,not_run_missing_matched_blank_profiles,False,,False,False,matched blank profiles not supplied,
flow07,flow07_Bscan249,not_run_missing_matched_blank_profiles,False,,False,False,matched blank profiles not supplied,
flow07,flow07_Bscan499,not_run_missing_matched_blank_profiles,False,,False,False,matched blank profiles not supplied,
flow10,flow10_Bscan000,not_run_missing_matched_blank_profiles,False,,False,False,matched blank profiles not supplied,
flow10,flow10_Bscan249,not_run_missing_matched_blank_profiles,False,,False,False,matched blank profiles not supplied,
flow10,flow10_Bscan499,not_run_missing_matched_blank_profiles,False,,False,False,matched blank profiles not supplied,
