scan_id,source_file,tracking_file,vessel_id,phantom_id,session_id,diameter_um,flow_speed_mm_s,position_label,dx_um,dz_um,bscan_index,slow_axis_position_um,temporal_repeat_id,temporal_repeat_count,scan_time_interval_s,acquisition_order,reconstruction_version,x_anchor_center_px,z_anchor_center_px,geometry_source,background_excluded_side,background_exclusion_reason,notes,frame_id,resolved_source_file,input_map_format,input_metadata_qc_status,input_bscan_index_matlab_1based,input_declared_sv_definition,input_dimension_order,manifest_identity_complete,manifest_phantom_id_known,manifest_acquisition_metadata_complete,localization_image,coarse_method,lateral_method,lateral_threshold_sigma,top_method,coordinate_convention,mentor_scan_id,mentor_frame_index,mentor_primary_alpha,mentor_viterbi_x_center_px,mentor_z_upper_px,mentor_tracking_class,mentor_x_path_confidence_class,mentor_z_edge_confidence_class,mentor_x2_robust_centroid_px,mentor_x4_centroid_isolated_jump_corrected_px,mentor_x4_jump_corrected,mentor_assessability_score,mentor_vessel_presence_prediction,mentor_valid_local_body,mentor_x1_fallback,mentor_qc_valid,mentor_invalid_reason,lateral_valid,lateral_invalid_reason,lateral_x_anchor_center_px,lateral_x_left_center_px,lateral_x_right_center_px,lateral_x1_local_geometry_center_px,lateral_fallback,lateral_run_width_px,lateral_expected_lateral_width_px,lateral_local_background,lateral_local_sigma,lateral_peak_cnr,lateral_axial_completeness,top_valid,top_invalid_reason,top_z_anchor_center_px,top_z_top_center_px,top_fallback,top_local_background,top_local_sigma,top_peak_cnr,source_qc_valid,geometry_qc_valid,background_qc_valid,background_modes,window_qc_valid,q_vessel,q_tail,ratio_tail_to_vessel,q_tail_direct_check,source_area_um2,tail_area_um2,requested_tail_area_um2,source_mean,tail_window_complete,source_window_complete,background_complete,valid,invalid_reason,tail_gap_um,requested_tail_length_um,lateral_width_um,x_left_edge_px,x_right_edge_px,z_top_edge_px,z_bottom_edge_px,detection_qc_status,tail_detected,detectable_length_um,detection_right_censored,detection_qc_valid,detection_not_evaluable_reason,blank_profile_key
flow01,../local_interim/flow01_b0001.mat,../mentor_tracking/flow01/flow01_mentor_tracking.csv,,,,128.0,1,front,12.7,6.7,0,,,3,,,4796d792521121ba909c1278660fd18c716a6c20,,,mentor_full_volume_viterbi_X4_X1width_zupper,,,raw OCT external; vessel localized from full 500-frame Flow DICOM; no surface-distance prior,flow01_Bscan000,../local_interim/flow01_b0001.mat,mat-v5-v7,verified_export_metadata,1,"var(abs(E), 1, 3)",depth x A-line,False,False,False,full_volume_flow_dicom,mentor_full_volume_slow_axis_viterbi,mentor_X4_centroid_with_X1_width_recentered,1.5,mentor_primary_alpha_z_upper,zero_based_pixel_centres,flow01,0,0.15,231.0,212.0,high_confidence,strong_evidence,strong_evidence,229.5774081019389,229.5774081019389,False,0.853348241615783,assessable,True,False,True,ok,True,ok,231.0,225,236,230.5,False,12,10,29740.0,5315.49165,6.734090157022446,0.7368421052631579,True,ok,212.0,212.0,False,,,9.26073236322278,True,True,True,bilateral,True,2126926934604.4617,1462486130145.3616,0.6876052516666896,1462486130145.3616,15324.177187500001,76199.99999999999,76199.99999999999,138795506.51107097,True,True,True,True,ok,0.0,500.0,152.39999999999998,223.5774081019389,235.5774081019389,211.5,230.6044776119403,not_run_missing_matched_blank_profiles,False,,False,False,matched blank profiles not supplied,
flow01,../local_interim/flow01_b0250.mat,../mentor_tracking/flow01/flow01_mentor_tracking.csv,,,,128.0,1,middle,12.7,6.7,249,,,3,,,4796d792521121ba909c1278660fd18c716a6c20,,,mentor_full_volume_viterbi_X4_X1width_zupper,,,raw OCT external; vessel localized from full 500-frame Flow DICOM; no surface-distance prior,flow01_Bscan249,../local_interim/flow01_b0250.mat,mat-v5-v7,verified_export_metadata,250,"var(abs(E), 1, 3)",depth x A-line,False,False,False,full_volume_flow_dicom,mentor_full_volume_slow_axis_viterbi,mentor_X4_centroid_with_X1_width_recentered,1.5,mentor_primary_alpha_z_upper,zero_based_pixel_centres,flow01,249,0.15,239.0,196.0,model_assisted,strong_evidence,weak_evidence,238.0855483440253,238.0855483440253,False,0.6155609015558267,assessable,True,False,True,ok,True,ok,239.0,233,245,239.0,False,13,10,29054.0,10003.1022,3.6469686373893095,0.7368421052631579,True,ok,196.0,196.0,False,,,16.365380055452757,True,True,True,bilateral,True,2207462015697.4355,1539374095495.377,0.6973502078625893,1539374095495.3772,16599.197656250002,82549.99999999999,82550.0,132986067.24321234,True,True,True,True,ok,0.0,500.0,165.1,231.5855483440253,244.5855483440253,195.5,214.6044776119403,not_run_missing_matched_blank_profiles,False,,False,False,matched blank profiles not supplied,
flow01,../local_interim/flow01_b0500.mat,../mentor_tracking/flow01/flow01_mentor_tracking.csv,,,,128.0,1,rear,12.7,6.7,499,,,3,,,4796d792521121ba909c1278660fd18c716a6c20,,,mentor_full_volume_viterbi_X4_X1width_zupper,,,raw OCT external; vessel localized from full 500-frame Flow DICOM; no surface-distance prior,flow01_Bscan499,../local_interim/flow01_b0500.mat,mat-v5-v7,verified_export_metadata,500,"var(abs(E), 1, 3)",depth x A-line,False,False,False,full_volume_flow_dicom,mentor_full_volume_slow_axis_viterbi,mentor_X4_centroid_with_X1_width_recentered,1.5,mentor_primary_alpha_z_upper,zero_based_pixel_centres,flow01,499,0.15,247.1205648533383,188.0,high_confidence,strong_evidence,strong_evidence,248.32372992862216,248.32372992862216,False,0.6742866669894864,assessable,True,False,True,ok,True,ok,247.1205648533383,241,254,247.5,False,14,10,31041.5,6665.7696,4.994922116720026,0.5263157894736842,True,ok,188.0,188.0,False,,,9.08489482148464,True,True,True,bilateral,True,1129702097289.3586,2343112351806.6387,2.074097549636115,2343112351806.6387,17876.877187500002,88899.99999999999,88899.99999999999,63193480.91059645,True,True,True,True,ok,0.0,500.0,177.79999999999998,241.32372992862216,255.32372992862216,187.5,206.6044776119403,not_run_missing_matched_blank_profiles,False,,False,False,matched blank profiles not supplied,
flow03,../local_interim/flow03_b0001.mat,../mentor_tracking/flow03/flow03_mentor_tracking.csv,,,,128.0,3,front,12.7,6.7,0,,,3,,,4796d792521121ba909c1278660fd18c716a6c20,,,mentor_full_volume_viterbi_X4_X1width_zupper,,,raw OCT external; vessel localized from full 500-frame Flow DICOM; no surface-distance prior,flow03_Bscan000,../local_interim/flow03_b0001.mat,mat-v5-v7,verified_export_metadata,1,"var(abs(E), 1, 3)",depth x A-line,False,False,False,full_volume_flow_dicom,mentor_full_volume_slow_axis_viterbi,mentor_X4_centroid_with_X1_width_recentered,1.5,mentor_primary_alpha_z_upper,zero_based_pixel_centres,flow03,0,0.15,232.3077097472643,210.0,high_confidence,strong_evidence,strong_evidence,234.143405172141,234.143405172141,False,0.7309827093482616,assessable,True,False,True,ok,True,ok,232.3077097472643,228,239,233.5,False,12,10,32216.0,6214.3179,5.361650391268204,0.6842105263157895,True,ok,210.0,210.0,False,,,16.05773232537995,True,True,True,bilateral,True,1881235420330.2244,1240532246366.4119,0.6594242448128337,1240532246366.412,15320.188593750001,76199.99999999999,76199.99999999999,122794534.07627697,True,True,True,True,ok,0.0,500.0,152.39999999999998,228.143405172141,240.143405172141,209.5,228.6044776119403,not_run_missing_matched_blank_profiles,False,,False,False,matched blank profiles not supplied,
flow03,../local_interim/flow03_b0250.mat,../mentor_tracking/flow03/flow03_mentor_tracking.csv,,,,128.0,3,middle,12.7,6.7,249,,,3,,,4796d792521121ba909c1278660fd18c716a6c20,,,mentor_full_volume_viterbi_X4_X1width_zupper,,,raw OCT external; vessel localized from full 500-frame Flow DICOM; no surface-distance prior,flow03_Bscan249,../local_interim/flow03_b0250.mat,mat-v5-v7,verified_export_metadata,250,"var(abs(E), 1, 3)",depth x A-line,False,False,False,full_volume_flow_dicom,mentor_full_volume_slow_axis_viterbi,mentor_X4_centroid_with_X1_width_recentered,1.5,mentor_primary_alpha_z_upper,zero_based_pixel_centres,flow03,249,0.15,244.0021515271501,184.0,high_confidence,strong_evidence,strong_evidence,244.07798281399533,244.07798281399533,False,0.9074041872237564,assessable,True,False,True,ok,True,ok,244.0021515271501,238,250,244.0,False,13,10,22267.0,3598.2702,11.619333089549528,0.7368421052631579,True,ok,184.0,184.0,False,,,74.09119666850621,True,True,True,bilateral,True,1580929724377.6694,2480779759891.5205,1.5691904084275952,2480779759891.5205,16595.873828125,82549.99999999999,82550.0,95260408.74680972,True,True,True,True,ok,0.0,500.0,165.1,237.57798281399533,250.57798281399533,183.5,202.6044776119403,not_run_missing_matched_blank_profiles,False,,False,False,matched blank profiles not supplied,
flow03,../local_interim/flow03_b0500.mat,../mentor_tracking/flow03/flow03_mentor_tracking.csv,,,,128.0,3,rear,12.7,6.7,499,,,3,,,4796d792521121ba909c1278660fd18c716a6c20,,,mentor_full_volume_viterbi_X4_X1width_zupper,,,raw OCT external; vessel localized from full 500-frame Flow DICOM; no surface-distance prior,flow03_Bscan499,../local_interim/flow03_b0500.mat,mat-v5-v7,verified_export_metadata,500,"var(abs(E), 1, 3)",depth x A-line,False,False,False,full_volume_flow_dicom,mentor_full_volume_slow_axis_viterbi,mentor_X4_centroid_with_X1_width_recentered,1.5,mentor_primary_alpha_z_upper,zero_based_pixel_centres,flow03,499,0.15,245.00000000000003,197.0,high_confidence,strong_evidence,strong_evidence,245.05524938743864,245.05524938743864,False,0.8845234951086582,assessable,True,False,True,ok,True,ok,245.00000000000003,239,252,245.5,False,14,10,26711.5,4800.6588,8.087119209555155,0.9473684210526316,True,ok,197.0,197.0,False,,,6.1835577864410185,True,True,True,bilateral,True,2164186055022.234,1269280347049.976,0.5864931733131125,1269280347049.9766,17879.8686328125,88899.99999999999,88899.99999999999,121040377.83871613,True,True,True,True,ok,0.0,500.0,177.79999999999998,238.05524938743864,252.05524938743864,196.5,215.6044776119403,not_run_missing_matched_blank_profiles,False,,False,False,matched blank profiles not supplied,
flow05,../local_interim/flow05_b0001.mat,../mentor_tracking/flow05/flow05_mentor_tracking.csv,,,,128.0,5,front,12.7,6.7,0,,,3,,,4796d792521121ba909c1278660fd18c716a6c20,,,mentor_full_volume_viterbi_X4_X1width_zupper,,,raw OCT external; vessel localized from full 500-frame Flow DICOM; no surface-distance prior,flow05_Bscan000,../local_interim/flow05_b0001.mat,mat-v5-v7,verified_export_metadata,1,"var(abs(E), 1, 3)",depth x A-line,False,False,False,full_volume_flow_dicom,mentor_full_volume_slow_axis_viterbi,mentor_X4_centroid_with_X1_width_recentered,1.5,mentor_primary_alpha_z_upper,zero_based_pixel_centres,flow05,0,0.15,233.0,199.0,model_assisted,strong_evidence,unavailable,232.06101246346725,232.06101246346725,False,0.7584761418745125,assessable,True,False,True,ok,True,ok,233.0,229,239,234.0,False,11,10,27385.5,4948.54815,6.16473742909827,0.3684210526315789,True,ok,199.0,199.0,False,,,3.19958570330515,True,True,True,bilateral,True,422460444084.4697,2695717654805.0264,6.380994226919919,2695717654805.0264,14047.4948046875,69850.0,69850.0,30073721.325990394,True,True,True,True,ok,0.0,500.0,139.7,226.56101246346725,237.56101246346725,198.5,217.6044776119403,not_run_missing_matched_blank_profiles,False,,False,False,matched blank profiles not supplied,
flow05,../local_interim/flow05_b0250.mat,../mentor_tracking/flow05/flow05_mentor_tracking.csv,,,,128.0,5,middle,12.7,6.7,249,,,3,,,4796d792521121ba909c1278660fd18c716a6c20,,,mentor_full_volume_viterbi_X4_X1width_zupper,,,raw OCT external; vessel localized from full 500-frame Flow DICOM; no surface-distance prior,flow05_Bscan249,../local_interim/flow05_b0250.mat,mat-v5-v7,verified_export_metadata,250,"var(abs(E), 1, 3)",depth x A-line,False,False,False,full_volume_flow_dicom,mentor_full_volume_slow_axis_viterbi,mentor_X4_centroid_with_X1_width_recentered,1.5,mentor_primary_alpha_z_upper,zero_based_pixel_centres,flow05,249,0.15,240.63473178396168,197.0,high_confidence,strong_evidence,strong_evidence,240.57377110776048,240.57377110776048,False,0.812659316057724,assessable,True,False,True,ok,True,ok,240.63473178396168,232,247,239.5,False,16,10,29650.5,4585.681799999999,7.825335809388259,0.7368421052631579,True,ok,197.0,197.0,False,,,4.110486195132254,True,True,True,bilateral,True,2264311591093.184,1277901482215.6074,0.5643664446369994,1277901482215.6077,20430.90671875,101599.99999999999,101600.0,110827758.2714997,True,True,True,True,ok,0.0,500.0,203.2,232.57377110776048,248.57377110776048,196.5,215.6044776119403,not_run_missing_matched_blank_profiles,False,,False,False,matched blank profiles not supplied,
flow05,../local_interim/flow05_b0500.mat,../mentor_tracking/flow05/flow05_mentor_tracking.csv,,,,128.0,5,rear,12.7,6.7,499,,,3,,,4796d792521121ba909c1278660fd18c716a6c20,,,mentor_full_volume_viterbi_X4_X1width_zupper,,,raw OCT external; vessel localized from full 500-frame Flow DICOM; no surface-distance prior,flow05_Bscan499,../local_interim/flow05_b0500.mat,mat-v5-v7,verified_export_metadata,500,"var(abs(E), 1, 3)",depth x A-line,False,False,False,full_volume_flow_dicom,mentor_full_volume_slow_axis_viterbi,mentor_X4_centroid_with_X1_width_recentered,1.5,mentor_primary_alpha_z_upper,zero_based_pixel_centres,flow05,499,0.15,248.00000000000003,195.0,high_confidence,strong_evidence,strong_evidence,247.7973676502664,247.7973676502664,False,0.759731376390389,assessable,True,False,True,ok,True,ok,248.00000000000003,241,255,248.0,False,15,10,31473.5,6024.545099999999,5.65378786856455,0.7894736842105263,True,ok,195.0,195.0,False,,,4.388366767221121,True,True,True,bilateral,True,1932150025933.9336,1184156934858.2495,0.6128700768388157,1184156934858.2495,19153.2271875,95249.99999999999,95250.0,100878562.50120166,True,True,True,True,ok,0.0,500.0,190.5,240.2973676502664,255.2973676502664,194.5,213.6044776119403,not_run_missing_matched_blank_profiles,False,,False,False,matched blank profiles not supplied,
flow07,../local_interim/flow07_b0001.mat,../mentor_tracking/flow07/flow07_mentor_tracking.csv,,,,128.0,7,front,12.7,6.7,0,,,3,,,4796d792521121ba909c1278660fd18c716a6c20,,,mentor_full_volume_viterbi_X4_X1width_zupper,,,raw OCT external; vessel localized from full 500-frame Flow DICOM; no surface-distance prior,flow07_Bscan000,../local_interim/flow07_b0001.mat,mat-v5-v7,verified_export_metadata,1,"var(abs(E), 1, 3)",depth x A-line,False,False,False,full_volume_flow_dicom,mentor_full_volume_slow_axis_viterbi,mentor_X4_centroid_with_X1_width_recentered,1.5,mentor_primary_alpha_z_upper,zero_based_pixel_centres,flow07,0,0.15,230.5664922692754,202.0,high_confidence,strong_evidence,strong_evidence,229.2347287464724,229.2347287464724,False,0.7958575653398086,assessable,True,False,True,ok,True,ok,230.5664922692754,227,233,230.0,False,7,10,27081.0,3030.4344,9.021478900846692,0.5789473684210527,True,ok,202.0,202.0,False,,,17.59738414495212,True,True,True,bilateral,True,321429913391.06946,2153113991510.1375,6.698548896071597,2153113991510.138,8939.435742187501,44449.99999999999,44449.99999999999,35956398.44181203,True,True,True,True,ok,0.0,500.0,88.89999999999999,225.7347287464724,232.7347287464724,201.5,220.6044776119403,not_run_missing_matched_blank_profiles,False,,False,False,matched blank profiles not supplied,
