scan_id,frame_id,resolved_source_file,localization_image,coarse_method,lateral_method,lateral_threshold_sigma,top_method,coordinate_convention,mentor_scan_id,mentor_frame_index,mentor_primary_alpha,mentor_viterbi_x_center_px,mentor_z_upper_px,mentor_tracking_class,mentor_x_path_confidence_class,mentor_z_edge_confidence_class,mentor_x2_robust_centroid_px,mentor_x4_centroid_isolated_jump_corrected_px,mentor_x4_jump_corrected,mentor_assessability_score,mentor_vessel_presence_prediction,mentor_valid_local_body,mentor_x1_fallback,mentor_qc_valid,mentor_invalid_reason,lateral_valid,lateral_invalid_reason,lateral_x_anchor_center_px,lateral_x_left_center_px,lateral_x_right_center_px,lateral_x1_local_geometry_center_px,lateral_fallback,lateral_run_width_px,lateral_expected_lateral_width_px,lateral_local_background,lateral_local_sigma,lateral_peak_cnr,lateral_axial_completeness,top_valid,top_invalid_reason,top_z_anchor_center_px,top_z_top_center_px,top_fallback,top_local_background,top_local_sigma,top_peak_cnr,source_qc_valid,x_left_edge_px,x_right_edge_px,z_top_edge_px,diameter_um,dx_um,dz_um,z_bottom_edge_px
flow01,flow01_Bscan000,../local_interim/flow01_b0001.mat,full_volume_flow_dicom,mentor_full_volume_slow_axis_viterbi,mentor_X4_centroid_with_X1_width_recentered,1.5,mentor_primary_alpha_z_upper,zero_based_pixel_centres,flow01,0,0.15,231.0,212.0,high_confidence,strong_evidence,strong_evidence,229.5774081019389,229.5774081019389,False,0.853348241615783,assessable,True,False,True,ok,True,ok,231.0,225,236,230.5,False,12,10,29740.0,5315.49165,6.734090157022446,0.7368421052631579,True,ok,212.0,212.0,False,,,9.26073236322278,True,223.5774081019389,235.5774081019389,211.5,128.0,12.7,6.7,230.6044776119403
flow01,flow01_Bscan249,../local_interim/flow01_b0250.mat,full_volume_flow_dicom,mentor_full_volume_slow_axis_viterbi,mentor_X4_centroid_with_X1_width_recentered,1.5,mentor_primary_alpha_z_upper,zero_based_pixel_centres,flow01,249,0.15,239.0,196.0,model_assisted,strong_evidence,weak_evidence,238.0855483440253,238.0855483440253,False,0.6155609015558267,assessable,True,False,True,ok,True,ok,239.0,233,245,239.0,False,13,10,29054.0,10003.1022,3.6469686373893095,0.7368421052631579,True,ok,196.0,196.0,False,,,16.365380055452757,True,231.5855483440253,244.5855483440253,195.5,128.0,12.7,6.7,214.6044776119403
flow01,flow01_Bscan499,../local_interim/flow01_b0500.mat,full_volume_flow_dicom,mentor_full_volume_slow_axis_viterbi,mentor_X4_centroid_with_X1_width_recentered,1.5,mentor_primary_alpha_z_upper,zero_based_pixel_centres,flow01,499,0.15,247.1205648533383,188.0,high_confidence,strong_evidence,strong_evidence,248.32372992862216,248.32372992862216,False,0.6742866669894864,assessable,True,False,True,ok,True,ok,247.1205648533383,241,254,247.5,False,14,10,31041.5,6665.7696,4.994922116720026,0.5263157894736842,True,ok,188.0,188.0,False,,,9.08489482148464,True,241.32372992862216,255.32372992862216,187.5,128.0,12.7,6.7,206.6044776119403
flow03,flow03_Bscan000,../local_interim/flow03_b0001.mat,full_volume_flow_dicom,mentor_full_volume_slow_axis_viterbi,mentor_X4_centroid_with_X1_width_recentered,1.5,mentor_primary_alpha_z_upper,zero_based_pixel_centres,flow03,0,0.15,232.3077097472643,210.0,high_confidence,strong_evidence,strong_evidence,234.143405172141,234.143405172141,False,0.7309827093482616,assessable,True,False,True,ok,True,ok,232.3077097472643,228,239,233.5,False,12,10,32216.0,6214.3179,5.361650391268204,0.6842105263157895,True,ok,210.0,210.0,False,,,16.05773232537995,True,228.143405172141,240.143405172141,209.5,128.0,12.7,6.7,228.6044776119403
flow03,flow03_Bscan249,../local_interim/flow03_b0250.mat,full_volume_flow_dicom,mentor_full_volume_slow_axis_viterbi,mentor_X4_centroid_with_X1_width_recentered,1.5,mentor_primary_alpha_z_upper,zero_based_pixel_centres,flow03,249,0.15,244.0021515271501,184.0,high_confidence,strong_evidence,strong_evidence,244.07798281399533,244.07798281399533,False,0.9074041872237564,assessable,True,False,True,ok,True,ok,244.0021515271501,238,250,244.0,False,13,10,22267.0,3598.2702,11.619333089549528,0.7368421052631579,True,ok,184.0,184.0,False,,,74.09119666850621,True,237.57798281399533,250.57798281399533,183.5,128.0,12.7,6.7,202.6044776119403
flow03,flow03_Bscan499,../local_interim/flow03_b0500.mat,full_volume_flow_dicom,mentor_full_volume_slow_axis_viterbi,mentor_X4_centroid_with_X1_width_recentered,1.5,mentor_primary_alpha_z_upper,zero_based_pixel_centres,flow03,499,0.15,245.00000000000003,197.0,high_confidence,strong_evidence,strong_evidence,245.05524938743864,245.05524938743864,False,0.8845234951086582,assessable,True,False,True,ok,True,ok,245.00000000000003,239,252,245.5,False,14,10,26711.5,4800.6588,8.087119209555155,0.9473684210526316,True,ok,197.0,197.0,False,,,6.1835577864410185,True,238.05524938743864,252.05524938743864,196.5,128.0,12.7,6.7,215.6044776119403
flow05,flow05_Bscan000,../local_interim/flow05_b0001.mat,full_volume_flow_dicom,mentor_full_volume_slow_axis_viterbi,mentor_X4_centroid_with_X1_width_recentered,1.5,mentor_primary_alpha_z_upper,zero_based_pixel_centres,flow05,0,0.15,233.0,199.0,model_assisted,strong_evidence,unavailable,232.06101246346725,232.06101246346725,False,0.7584761418745125,assessable,True,False,True,ok,True,ok,233.0,229,239,234.0,False,11,10,27385.5,4948.54815,6.16473742909827,0.3684210526315789,True,ok,199.0,199.0,False,,,3.19958570330515,True,226.56101246346725,237.56101246346725,198.5,128.0,12.7,6.7,217.6044776119403
flow05,flow05_Bscan249,../local_interim/flow05_b0250.mat,full_volume_flow_dicom,mentor_full_volume_slow_axis_viterbi,mentor_X4_centroid_with_X1_width_recentered,1.5,mentor_primary_alpha_z_upper,zero_based_pixel_centres,flow05,249,0.15,240.63473178396168,197.0,high_confidence,strong_evidence,strong_evidence,240.57377110776048,240.57377110776048,False,0.812659316057724,assessable,True,False,True,ok,True,ok,240.63473178396168,232,247,239.5,False,16,10,29650.5,4585.681799999999,7.825335809388259,0.7368421052631579,True,ok,197.0,197.0,False,,,4.110486195132254,True,232.57377110776048,248.57377110776048,196.5,128.0,12.7,6.7,215.6044776119403
flow05,flow05_Bscan499,../local_interim/flow05_b0500.mat,full_volume_flow_dicom,mentor_full_volume_slow_axis_viterbi,mentor_X4_centroid_with_X1_width_recentered,1.5,mentor_primary_alpha_z_upper,zero_based_pixel_centres,flow05,499,0.15,248.00000000000003,195.0,high_confidence,strong_evidence,strong_evidence,247.7973676502664,247.7973676502664,False,0.759731376390389,assessable,True,False,True,ok,True,ok,248.00000000000003,241,255,248.0,False,15,10,31473.5,6024.545099999999,5.65378786856455,0.7894736842105263,True,ok,195.0,195.0,False,,,4.388366767221121,True,240.2973676502664,255.2973676502664,194.5,128.0,12.7,6.7,213.6044776119403
flow07,flow07_Bscan000,../local_interim/flow07_b0001.mat,full_volume_flow_dicom,mentor_full_volume_slow_axis_viterbi,mentor_X4_centroid_with_X1_width_recentered,1.5,mentor_primary_alpha_z_upper,zero_based_pixel_centres,flow07,0,0.15,230.5664922692754,202.0,high_confidence,strong_evidence,strong_evidence,229.2347287464724,229.2347287464724,False,0.7958575653398086,assessable,True,False,True,ok,True,ok,230.5664922692754,227,233,230.0,False,7,10,27081.0,3030.4344,9.021478900846692,0.5789473684210527,True,ok,202.0,202.0,False,,,17.59738414495212,True,225.7347287464724,232.7347287464724,201.5,128.0,12.7,6.7,220.6044776119403
