scan_id,z_index_0based,z_um,r_um,distance_from_vessel_bottom_um,V,B_left,B_right,B,B_standard_deviation,B_median_diagnostic,B_scaled_mad_diagnostic,background_mode,T,P,tail_z_fraction,background_left_valid_count,background_right_valid_count,region,validity,frame_id,bscan_index,flow_speed_mm_s
flow07,0,0.0,-1464.65,-1464.65,4099937.7229049215,1154100.351037618,5090840.285648497,3122470.3183430573,4351059.196251784,1942704.477568754,2079060.4265230738,bilateral,977467.4045618636,124138360.37935668,0.0,5,5,other,valid,flow07_Bscan249,249,7.0
flow07,1,6.7,-1457.95,-1457.95,3819768.372789692,1948610.4598568208,7477575.565851308,4713093.012854064,3292758.781398398,4913311.477445735,4700565.3768217,bilateral,-893324.6400643712,-113452229.28817514,0.0,5,5,other,valid,flow07_Bscan249,249,7.0
flow07,2,13.4,-1451.25,-1451.25,5914923.299107413,3287442.2889908743,2444028.560098172,2865735.4245445235,1813332.724051275,2627962.602635609,2379128.1546190935,bilateral,3049187.8745628903,387246860.0694871,0.0,5,5,other,valid,flow07_Bscan249,249,7.0
flow07,3,20.1,-1444.55,-1444.55,3833247.2506601415,2965166.541022788,6874410.388142017,4919788.464582402,5576409.782233979,2921867.2929031057,2247152.621472689,bilateral,-1086541.2139222613,-137990734.16812718,0.0,5,5,other,valid,flow07_Bscan249,249,7.0
flow07,4,26.8,-1437.8500000000001,-1437.8500000000001,3080218.560411795,2897589.6428938857,4308758.570391847,3603174.106642867,3992349.961659295,2740291.0803543637,2693346.5227278797,bilateral,-522955.5462310716,-66415354.371346086,0.0,5,5,other,valid,flow07_Bscan249,249,7.0
flow07,5,33.5,-1431.15,-1431.15,8300130.481548649,5759183.339669251,1420599.904278885,3589891.621974068,3438501.2013406833,2526606.084517825,2253146.0732323816,bilateral,4710238.859574581,598200335.1659716,0.0,5,5,other,valid,flow07_Bscan249,249,7.0
flow07,6,40.2,-1424.45,-1424.45,2940936.9957077024,4430274.884474866,3741037.131256754,4085656.007865811,3180738.1218059575,2784110.8048611255,1511604.310173532,bilateral,-1144719.0121581093,-145379314.5440799,0.0,5,5,other,valid,flow07_Bscan249,249,7.0
flow07,7,46.9,-1417.75,-1417.75,3667449.9251652993,6664998.0807767715,4884014.593342795,5774506.337059784,5097109.373241624,4151499.135144433,3841607.540516616,bilateral,-2107056.4118944844,-267596164.31059954,0.0,5,5,other,valid,flow07_Bscan249,249,7.0
flow07,8,53.6,-1411.05,-1411.05,1718623.5339309245,4665415.568810124,3941434.0825675963,4303424.825688859,3161570.163738553,3377476.004155823,2808673.092489641,bilateral,-2584801.2917579347,-328269764.05325764,0.0,5,5,other,valid,flow07_Bscan249,249,7.0
flow07,9,60.300000000000004,-1404.3500000000001,-1404.3500000000001,2423356.1449424275,3515047.465789573,4422574.163235321,3968810.8145124475,2315944.309982667,3774089.076864141,1792680.6978134483,bilateral,-1545454.66957002,-196272743.03539252,0.0,5,5,other,valid,flow07_Bscan249,249,7.0
flow07,10,67.0,-1397.65,-1397.65,2719640.817873567,3920661.5057595177,6663478.040842182,5292069.773300851,3764931.933358102,4951896.122260131,4866422.595811553,bilateral,-2572428.9554272834,-326698477.339265,0.0,5,5,other,valid,flow07_Bscan249,249,7.0
flow07,11,73.7,-1390.95,-1390.95,2996683.929717178,4882820.767687159,7454338.987627136,6168579.877657147,4871774.384415635,5226128.812388997,5328380.200378979,bilateral,-3171895.947939969,-402830785.38837606,0.0,5,5,other,valid,flow07_Bscan249,249,7.0
flow07,12,80.4,-1384.25,-1384.25,5858241.6938927155,9200253.358440902,2119988.487822523,5660120.923131714,7065573.964710242,2618335.8820343693,1412239.3468309732,bilateral,198120.77076100212,25161337.886647265,0.0,5,5,other,valid,flow07_Bscan249,249,7.0
flow07,13,87.10000000000001,-1377.55,-1377.55,4645352.781549369,2980644.911974445,2851389.9144738056,2916017.4132241253,3448805.974986457,1763684.7327617372,2577056.454702248,bilateral,1729335.3683252432,219625591.77730587,0.0,5,5,other,valid,flow07_Bscan249,249,7.0
flow07,14,93.8,-1370.8500000000001,-1370.8500000000001,1577428.4308278833,2900077.9681642274,2562865.669584263,2731471.818874245,1928209.6374603112,2918978.1135609797,2051571.7475225443,bilateral,-1154043.388046362,-146563510.28188795,0.0,5,5,other,valid,flow07_Bscan249,249,7.0
flow07,15,100.5,-1364.15,-1364.15,2488831.5471456805,10069482.995446851,2668981.7014939534,6369232.348470403,5292259.562766364,5530374.601086537,5376199.488974707,bilateral,-3880400.8013247224,-492810901.7682397,0.0,5,5,other,valid,flow07_Bscan249,249,7.0
flow07,16,107.2,-1357.45,-1357.45,7426443.111580387,5537256.76705315,3349942.494006875,4443599.630530013,3955898.650754932,4421966.455086242,5061667.24885528,bilateral,2982843.4810503745,378821122.0933975,0.0,5,5,other,valid,flow07_Bscan249,249,7.0
flow07,17,113.9,-1350.75,-1350.75,5000730.2791469,1276298.3325028936,2780152.240667664,2028225.2865852788,1862275.5126968399,1710367.4449920405,1202829.8183511521,bilateral,2972504.9925616207,377508134.0553258,0.0,5,5,other,valid,flow07_Bscan249,249,7.0
flow07,18,120.60000000000001,-1344.05,-1344.05,3853936.8514255346,2880334.9769362346,5910942.979771832,4395638.978354034,4701183.409513172,2044020.7188018803,2922104.7471365035,bilateral,-541702.1269284998,-68796170.11991948,0.0,5,5,other,valid,flow07_Bscan249,249,7.0
flow07,19,127.3,-1337.3500000000001,-1337.3500000000001,5170917.084780181,6114625.7943616975,5519390.2747642,5817008.034562948,2771937.365186753,5772618.553583916,3369578.482626073,bilateral,-646090.9497827668,-82053550.62241137,0.0,5,5,other,valid,flow07_Bscan249,249,7.0
flow07,20,134.0,-1330.65,-1330.65,5484067.925761993,4409561.534579058,5237987.2397947535,4823774.387186905,5976788.1326151015,1937665.6808075984,1274132.021834073,bilateral,660293.538575088,83857279.39903618,0.0,5,5,other,valid,flow07_Bscan249,249,7.0
flow07,21,140.70000000000002,-1323.95,-1323.95,6677750.508713176,3546080.9425980374,4743538.026215718,4144809.4844068782,3579746.160115782,2316253.352132233,2573071.651971178,bilateral,2532941.0243062954,321683510.0868995,0.0,5,5,other,valid,flow07_Bscan249,249,7.0
