panel,scan_id,flow_speed_mm_s,frame_index,alpha,noise_multiplier,z_peak_px,seed_z_upper_px,z_upper_px,upper_component_width_px,peak_snr,z_candidate_accepted,tracking_class,qc_valid,qc_flags
1x1,flow01,1,0,0.15,3.0,226.0,212.0,212.0,67,9.26073236322278,True,high_confidence,True,
1x2,flow01,1,249,0.15,3.0,212.0,174.0,196.0,133,16.365380055452757,False,model_assisted,True,UPPER_SEED_TRAJECTORY_OUTLIER;Z_EDGE_EVIDENCE_WEAK
1x3,flow01,1,499,0.15,3.0,197.0,187.0,188.0,65,9.08489482148464,True,high_confidence,True,
1x1,flow01,1,0,0.2,3.0,226.0,212.0,212.0,67,9.26073236322278,True,high_confidence,True,
1x2,flow01,1,249,0.2,3.0,212.0,187.0,196.0,119,16.365380055452757,False,model_assisted,True,UPPER_SEED_TRAJECTORY_OUTLIER;Z_EDGE_EVIDENCE_WEAK
1x3,flow01,1,499,0.2,3.0,197.0,187.0,188.0,65,9.08489482148464,True,high_confidence,True,
1x1,flow01,1,0,0.25,3.0,226.0,212.0,212.0,67,9.26073236322278,True,high_confidence,True,
1x2,flow01,1,249,0.25,3.0,212.0,188.0,196.0,110,16.365380055452757,False,model_assisted,True,UPPER_SEED_TRAJECTORY_OUTLIER;Z_EDGE_EVIDENCE_WEAK
1x3,flow01,1,499,0.25,3.0,197.0,187.0,189.0,65,9.08489482148464,True,high_confidence,True,
1x1,flow01,1,0,0.15,4.0,226.0,213.0,213.0,60,9.26073236322278,True,high_confidence,True,
1x2,flow01,1,249,0.15,4.0,212.0,188.0,199.0,111,16.365380055452757,False,model_assisted,True,UPPER_SEED_TRAJECTORY_OUTLIER;Z_EDGE_EVIDENCE_WEAK
1x3,flow01,1,499,0.15,4.0,197.0,191.0,191.0,44,9.08489482148464,True,high_confidence,True,
1x1,flow01,1,0,0.2,4.0,226.0,213.0,213.0,60,9.26073236322278,True,high_confidence,True,
1x2,flow01,1,249,0.2,4.0,212.0,188.0,199.0,111,16.365380055452757,False,model_assisted,True,UPPER_SEED_TRAJECTORY_OUTLIER;Z_EDGE_EVIDENCE_WEAK
1x3,flow01,1,499,0.2,4.0,197.0,191.0,191.0,44,9.08489482148464,True,high_confidence,True,
1x1,flow01,1,0,0.25,4.0,226.0,213.0,213.0,60,9.26073236322278,True,high_confidence,True,
1x2,flow01,1,249,0.25,4.0,212.0,188.0,199.0,110,16.365380055452757,False,model_assisted,True,UPPER_SEED_TRAJECTORY_OUTLIER;Z_EDGE_EVIDENCE_WEAK
1x3,flow01,1,499,0.25,4.0,197.0,191.0,192.0,44,9.08489482148464,True,high_confidence,True,
1x1,flow01,1,0,0.15,5.0,226.0,214.0,214.0,51,9.26073236322278,True,high_confidence,True,
1x2,flow01,1,249,0.15,5.0,212.0,189.0,199.0,74,16.365380055452757,False,model_assisted,True,UPPER_SEED_TRAJECTORY_OUTLIER;Z_EDGE_EVIDENCE_WEAK
1x3,flow01,1,499,0.15,5.0,197.0,192.0,192.0,36,9.08489482148464,True,high_confidence,True,
1x1,flow01,1,0,0.2,5.0,226.0,214.0,214.0,51,9.26073236322278,True,high_confidence,True,
1x2,flow01,1,249,0.2,5.0,212.0,189.0,199.0,74,16.365380055452757,False,model_assisted,True,UPPER_SEED_TRAJECTORY_OUTLIER;Z_EDGE_EVIDENCE_WEAK
1x3,flow01,1,499,0.2,5.0,197.0,192.0,192.0,36,9.08489482148464,True,high_confidence,True,
1x1,flow01,1,0,0.25,5.0,226.0,214.0,214.0,51,9.26073236322278,True,high_confidence,True,
1x2,flow01,1,249,0.25,5.0,212.0,189.0,199.0,74,16.365380055452757,False,model_assisted,True,UPPER_SEED_TRAJECTORY_OUTLIER;Z_EDGE_EVIDENCE_WEAK
1x3,flow01,1,499,0.25,5.0,197.0,192.0,192.0,36,9.08489482148464,True,high_confidence,True,
2x1,flow03,3,0,0.15,3.0,217.0,210.0,210.0,81,16.05773232537995,True,high_confidence,True,
2x2,flow03,3,249,0.15,3.0,198.0,180.0,184.0,119,74.09119666850621,True,high_confidence,True,
2x3,flow03,3,499,0.15,3.0,209.0,197.0,197.0,34,6.1835577864410185,True,high_confidence,True,
2x1,flow03,3,0,0.2,3.0,217.0,210.0,210.0,71,16.05773232537995,True,high_confidence,True,
2x2,flow03,3,249,0.2,3.0,198.0,185.0,185.0,94,74.09119666850621,True,high_confidence,True,
2x3,flow03,3,499,0.2,3.0,209.0,197.0,197.0,34,6.1835577864410185,True,high_confidence,True,
2x1,flow03,3,0,0.25,3.0,217.0,210.0,210.0,70,16.05773232537995,True,high_confidence,True,
2x2,flow03,3,249,0.25,3.0,198.0,186.0,188.0,92,74.09119666850621,True,high_confidence,True,
2x3,flow03,3,499,0.25,3.0,209.0,197.0,197.0,34,6.1835577864410185,True,high_confidence,True,
2x1,flow03,3,0,0.15,4.0,217.0,210.0,211.0,70,16.05773232537995,True,high_confidence,True,
2x2,flow03,3,249,0.15,4.0,198.0,180.0,185.0,119,74.09119666850621,True,high_confidence,True,
2x3,flow03,3,499,0.15,4.0,209.0,198.0,198.0,19,6.1835577864410185,True,high_confidence,True,
2x1,flow03,3,0,0.2,4.0,217.0,210.0,211.0,70,16.05773232537995,True,high_confidence,True,
2x2,flow03,3,249,0.2,4.0,198.0,185.0,187.0,94,74.09119666850621,True,high_confidence,True,
2x3,flow03,3,499,0.2,4.0,209.0,198.0,198.0,19,6.1835577864410185,True,high_confidence,True,
2x1,flow03,3,0,0.25,4.0,217.0,210.0,210.0,70,16.05773232537995,True,high_confidence,True,
2x2,flow03,3,249,0.25,4.0,198.0,186.0,188.0,92,74.09119666850621,True,high_confidence,True,
2x3,flow03,3,499,0.25,4.0,209.0,198.0,198.0,19,6.1835577864410185,True,high_confidence,True,
2x1,flow03,3,0,0.15,5.0,217.0,211.0,211.0,43,16.05773232537995,True,high_confidence,True,
2x2,flow03,3,249,0.15,5.0,198.0,180.0,187.0,119,74.09119666850621,False,model_assisted,True,UPPER_SEED_TRAJECTORY_OUTLIER;Z_EDGE_EVIDENCE_WEAK
2x3,flow03,3,499,0.15,5.0,209.0,199.0,198.0,16,6.1835577864410185,True,high_confidence,True,
2x1,flow03,3,0,0.2,5.0,217.0,211.0,211.0,43,16.05773232537995,True,high_confidence,True,
2x2,flow03,3,249,0.2,5.0,198.0,185.0,187.0,94,74.09119666850621,True,high_confidence,True,
2x3,flow03,3,499,0.2,5.0,209.0,199.0,198.0,16,6.1835577864410185,True,high_confidence,True,
2x1,flow03,3,0,0.25,5.0,217.0,211.0,211.0,43,16.05773232537995,True,high_confidence,True,
2x2,flow03,3,249,0.25,5.0,198.0,186.0,188.0,92,74.09119666850621,True,high_confidence,True,
2x3,flow03,3,499,0.25,5.0,209.0,199.0,198.0,16,6.1835577864410185,True,high_confidence,True,
3x1,flow05,5,0,0.15,3.0,202.0,,199.0,1,3.19958570330515,False,model_assisted,True,NO_VALID_UPPER_COMPONENT;Z_EDGE_EVIDENCE_UNAVAILABLE
3x2,flow05,5,249,0.15,3.0,207.0,197.0,197.0,27,4.110486195132254,True,high_confidence,True,
3x3,flow05,5,499,0.15,3.0,205.0,195.0,195.0,24,4.388366767221121,True,high_confidence,True,
3x1,flow05,5,0,0.2,3.0,202.0,,199.0,1,3.19958570330515,False,model_assisted,True,NO_VALID_UPPER_COMPONENT;Z_EDGE_EVIDENCE_UNAVAILABLE
3x2,flow05,5,249,0.2,3.0,207.0,197.0,197.0,27,4.110486195132254,True,high_confidence,True,
3x3,flow05,5,499,0.2,3.0,205.0,195.0,195.0,24,4.388366767221121,True,high_confidence,True,
3x1,flow05,5,0,0.25,3.0,202.0,,199.0,1,3.19958570330515,False,model_assisted,True,NO_VALID_UPPER_COMPONENT;Z_EDGE_EVIDENCE_UNAVAILABLE
3x2,flow05,5,249,0.25,3.0,207.0,197.0,197.0,27,4.110486195132254,True,high_confidence,True,
3x3,flow05,5,499,0.25,3.0,205.0,195.0,195.0,24,4.388366767221121,True,high_confidence,True,
3x1,flow05,5,0,0.15,4.0,202.0,,200.0,0,3.19958570330515,False,model_assisted,True,NO_VALID_UPPER_COMPONENT;Z_EDGE_EVIDENCE_UNAVAILABLE
3x2,flow05,5,249,0.15,4.0,207.0,206.0,197.0,4,4.110486195132254,False,model_assisted,True,UPPER_SEED_TRAJECTORY_OUTLIER;Z_EDGE_EVIDENCE_WEAK
3x3,flow05,5,499,0.15,4.0,205.0,198.0,197.0,9,4.388366767221121,True,high_confidence,True,
3x1,flow05,5,0,0.2,4.0,202.0,,200.0,0,3.19958570330515,False,model_assisted,True,NO_VALID_UPPER_COMPONENT;Z_EDGE_EVIDENCE_UNAVAILABLE
3x2,flow05,5,249,0.2,4.0,207.0,206.0,197.0,4,4.110486195132254,False,model_assisted,True,UPPER_SEED_TRAJECTORY_OUTLIER;Z_EDGE_EVIDENCE_WEAK
3x3,flow05,5,499,0.2,4.0,205.0,198.0,197.0,9,4.388366767221121,True,high_confidence,True,
