"scan_id","frame_id","resolved_source_file","localization_image","coarse_method","lateral_method","lateral_threshold_sigma","top_method","coordinate_convention","mentor_scan_id","mentor_frame_index","mentor_primary_alpha","mentor_viterbi_x_center_px","mentor_z_upper_px","mentor_tracking_class","mentor_x_path_confidence_class","mentor_z_edge_confidence_class","mentor_x2_robust_centroid_px","mentor_x4_centroid_isolated_jump_corrected_px","mentor_x4_jump_corrected","mentor_assessability_score","mentor_vessel_presence_prediction","mentor_valid_local_body","mentor_x1_fallback","mentor_qc_valid","mentor_invalid_reason","lateral_valid","lateral_invalid_reason","lateral_x_anchor_center_px","lateral_x_left_center_px","lateral_x_right_center_px","lateral_x1_local_geometry_center_px","lateral_fallback","lateral_run_width_px","lateral_expected_lateral_width_px","lateral_local_background","lateral_local_sigma","lateral_peak_cnr","lateral_axial_completeness","top_valid","top_invalid_reason","top_z_anchor_center_px","top_z_top_center_px","top_fallback","top_local_background","top_local_sigma","top_peak_cnr","source_qc_valid","x_left_edge_px","x_right_edge_px","z_top_edge_px","diameter_um","dx_um","dz_um","z_bottom_edge_px"
"flow01","flow01_Bscan000","external/flow01_b0001.mat","full_volume_flow_dicom","mentor_full_volume_slow_axis_viterbi","mentor_X4_centroid_with_X1_width_recentered","1.5","mentor_primary_alpha_z_upper","zero_based_pixel_centres","flow01","0","0.2","231.0","214.0","high_confidence","strong_evidence","strong_evidence","229.87922012319203","229.87922012319203","False","0.8235086929446113","assessable","True","False","True","ok","True","ok","231.0","225","236","230.5","False","12","10","30233.0","5598.66825","6.305428081044095","0.7894736842105263","True","ok","214.0","214.0","False","","","9.258927426061264","True","223.87922012319203","235.87922012319203","213.5","128.0","12.7","6.7","232.6044776119403"
"flow01","flow01_Bscan249","external/flow01_b0250.mat","full_volume_flow_dicom","mentor_full_volume_slow_axis_viterbi","mentor_X4_centroid_with_X1_width_recentered","1.5","mentor_primary_alpha_z_upper","zero_based_pixel_centres","flow01","249","0.2","239.0","199.0","high_confidence","strong_evidence","strong_evidence","238.358028233871","238.358028233871","False","0.6375524676776884","assessable","True","False","True","ok","True","ok","239.0","233","245","239.0","False","13","10","30384.25","11269.2426","3.119175906284953","0.7894736842105263","True","ok","199.0","199.0","False","","","5.911055290914592","True","231.858028233871","244.858028233871","198.5","128.0","12.7","6.7","217.6044776119403"
"flow01","flow01_Bscan499","external/flow01_b0500.mat","full_volume_flow_dicom","mentor_full_volume_slow_axis_viterbi","mentor_X4_centroid_with_X1_width_recentered","1.5","mentor_primary_alpha_z_upper","zero_based_pixel_centres","flow01","499","0.2","247.1205648533383","192.0","high_confidence","strong_evidence","strong_evidence","248.23302142154728","248.23302142154728","False","0.6749058868355314","assessable","True","False","True","ok","True","ok","247.1205648533383","241","254","247.5","False","14","10","32012.0","6503.4249","5.154668580858065","0.631578947368421","True","ok","192.0","192.0","False","","","8.780156658499656","True","241.23302142154728","255.23302142154728","191.5","128.0","12.7","6.7","210.6044776119403"
"flow03","flow03_Bscan000","external/flow03_b0001.mat","full_volume_flow_dicom","mentor_full_volume_slow_axis_viterbi","mentor_X4_centroid_with_X1_width_recentered","1.5","mentor_primary_alpha_z_upper","zero_based_pixel_centres","flow03","0","0.2","232.3077097472643","210.0","high_confidence","strong_evidence","strong_evidence","234.143405172141","234.143405172141","False","0.7309827093482616","assessable","True","False","True","ok","True","ok","232.3077097472643","228","239","233.5","False","12","10","32216.0","6214.3179","5.361650391268204","0.6842105263157895","True","ok","210.0","210.0","False","","","13.602696706506656","True","228.143405172141","240.143405172141","209.5","128.0","12.7","6.7","228.6044776119403"
"flow03","flow03_Bscan249","external/flow03_b0250.mat","full_volume_flow_dicom","mentor_full_volume_slow_axis_viterbi","mentor_X4_centroid_with_X1_width_recentered","1.5","mentor_primary_alpha_z_upper","zero_based_pixel_centres","flow03","249","0.2","244.0021515271501","189.0","high_confidence","strong_evidence","strong_evidence","243.5800684548155","243.5800684548155","False","0.764230273833927","assessable","True","False","True","ok","True","ok","244.0021515271501","238","250","244.0","False","13","10","26615.0","7061.623799999999","5.474095065783596","0.8421052631578947","True","ok","189.0","189.0","False","","","73.1060362989918","True","237.0800684548155","250.0800684548155","188.5","128.0","12.7","6.7","207.6044776119403"
"flow03","flow03_Bscan499","external/flow03_b0500.mat","full_volume_flow_dicom","mentor_full_volume_slow_axis_viterbi","mentor_X4_centroid_with_X1_width_recentered","1.5","mentor_primary_alpha_z_upper","zero_based_pixel_centres","flow03","499","0.2","245.00000000000003","196.0","high_confidence","strong_evidence","strong_evidence","245.10703861307277","245.10703861307277","False","0.8681239719989629","assessable","True","False","True","ok","True","ok","245.00000000000003","239","252","245.5","False","14","10","26659.5","5415.1965","7.178963865854176","0.9473684210526316","True","ok","196.0","196.0","False","","","10.745413905220325","True","238.10703861307277","252.10703861307277","195.5","128.0","12.7","6.7","214.6044776119403"
"flow05","flow05_Bscan000","external/flow05_b0001.mat","full_volume_flow_dicom","mentor_full_volume_slow_axis_viterbi","mentor_X4_centroid_with_X1_width_recentered","1.5","mentor_primary_alpha_z_upper","zero_based_pixel_centres","flow05","0","0.2","233.0","211.0","high_confidence","strong_evidence","strong_evidence","233.30743484044365","233.30743484044365","False","0.8908846288017622","assessable","True","False","True","ok","True","ok","233.0","227","240","233.5","False","14","10","27410.0","4948.9188","7.703702877485079","0.8421052631578947","True","ok","211.0","211.0","False","","","22.420053599499123","True","226.30743484044365","240.30743484044365","210.5","128.0","12.7","6.7","229.6044776119403"
"flow05","flow05_Bscan249","external/flow05_b0250.mat","full_volume_flow_dicom","mentor_full_volume_slow_axis_viterbi","mentor_X4_centroid_with_X1_width_recentered","1.5","mentor_primary_alpha_z_upper","zero_based_pixel_centres","flow05","249","0.2","240.63473178396168","196.0","high_confidence","strong_evidence","strong_evidence","240.3842750001511","240.3842750001511","False","0.7924220215903216","assessable","True","False","True","ok","True","ok","240.63473178396168","232","248","240.0","False","17","10","28918.0","4521.929999999999","8.097648570411307","0.5789473684210527","True","ok","196.0","196.0","False","","","5.271529875226462","True","231.8842750001511","248.8842750001511","195.5","128.0","12.7","6.7","214.6044776119403"
"flow05","flow05_Bscan499","external/flow05_b0500.mat","full_volume_flow_dicom","mentor_full_volume_slow_axis_viterbi","mentor_X4_centroid_with_X1_width_recentered","1.5","mentor_primary_alpha_z_upper","zero_based_pixel_centres","flow05","499","0.2","248.00000000000003","194.0","high_confidence","strong_evidence","strong_evidence","247.83388660785567","247.83388660785567","False","0.6810891841641761","assessable","True","False","True","ok","True","ok","248.00000000000003","241","255","248.0","False","15","10","31136.5","6722.1084","5.117218877339139","0.7368421052631579","True","ok","194.0","194.0","False","","","4.408563523432584","True","240.33388660785567","255.33388660785567","193.5","128.0","12.7","6.7","212.6044776119403"
"flow07","flow07_Bscan000","external/flow07_b0001.mat","full_volume_flow_dicom","mentor_full_volume_slow_axis_viterbi","mentor_X4_centroid_with_X1_width_recentered","1.5","mentor_primary_alpha_z_upper","zero_based_pixel_centres","flow07","0","0.2","230.5664922692754","214.0","high_confidence","strong_evidence","strong_evidence","230.0408017264596","230.0408017264596","False","0.8383400562716099","assessable","True","False","True","ok","True","ok","230.5664922692754","224","238","231.0","False","15","10","27915.5","3716.1369","10.1232815185038","0.8947368421052632","True","ok","214.0","214.0","False","","","18.755711276358785","True","222.5408017264596","237.5408017264596","213.5","128.0","12.7","6.7","232.6044776119403"
