"scan_id","source_file","tracking_file","vessel_id","phantom_id","session_id","diameter_um","flow_speed_mm_s","position_label","dx_um","dz_um","bscan_index","slow_axis_position_um","temporal_repeat_id","temporal_repeat_count","scan_time_interval_s","acquisition_order","reconstruction_version","x_anchor_center_px","z_anchor_center_px","geometry_source","background_excluded_side","background_exclusion_reason","notes"
"flow01","../local_interim/flow01_b0001.mat","tracking/flow01/flow01_mentor_tracking.csv","","","","128","1","front","12.7","6.7","0","","","3","","","4796d792521121ba909c1278660fd18c716a6c20","","","mentor_full_volume_viterbi_X4_X1width_persistent_zupper","","","raw OCT external; persistent-core paired-edge v2; alpha=0.20; noise=4; no surface-distance prior"
"flow01","../local_interim/flow01_b0250.mat","tracking/flow01/flow01_mentor_tracking.csv","","","","128","1","middle","12.7","6.7","249","","","3","","","4796d792521121ba909c1278660fd18c716a6c20","","","mentor_full_volume_viterbi_X4_X1width_persistent_zupper","","","raw OCT external; persistent-core paired-edge v2; alpha=0.20; noise=4; no surface-distance prior"
"flow01","../local_interim/flow01_b0500.mat","tracking/flow01/flow01_mentor_tracking.csv","","","","128","1","rear","12.7","6.7","499","","","3","","","4796d792521121ba909c1278660fd18c716a6c20","","","mentor_full_volume_viterbi_X4_X1width_persistent_zupper","","","raw OCT external; persistent-core paired-edge v2; alpha=0.20; noise=4; no surface-distance prior"
"flow03","../local_interim/flow03_b0001.mat","tracking/flow03/flow03_mentor_tracking.csv","","","","128","3","front","12.7","6.7","0","","","3","","","4796d792521121ba909c1278660fd18c716a6c20","","","mentor_full_volume_viterbi_X4_X1width_persistent_zupper","","","raw OCT external; persistent-core paired-edge v2; alpha=0.20; noise=4; no surface-distance prior"
"flow03","../local_interim/flow03_b0250.mat","tracking/flow03/flow03_mentor_tracking.csv","","","","128","3","middle","12.7","6.7","249","","","3","","","4796d792521121ba909c1278660fd18c716a6c20","","","mentor_full_volume_viterbi_X4_X1width_persistent_zupper","","","raw OCT external; persistent-core paired-edge v2; alpha=0.20; noise=4; no surface-distance prior"
"flow03","../local_interim/flow03_b0500.mat","tracking/flow03/flow03_mentor_tracking.csv","","","","128","3","rear","12.7","6.7","499","","","3","","","4796d792521121ba909c1278660fd18c716a6c20","","","mentor_full_volume_viterbi_X4_X1width_persistent_zupper","","","raw OCT external; persistent-core paired-edge v2; alpha=0.20; noise=4; no surface-distance prior"
"flow05","../local_interim/flow05_b0001.mat","tracking/flow05/flow05_mentor_tracking.csv","","","","128","5","front","12.7","6.7","0","","","3","","","4796d792521121ba909c1278660fd18c716a6c20","","","mentor_full_volume_viterbi_X4_X1width_persistent_zupper","","","raw OCT external; persistent-core paired-edge v2; alpha=0.20; noise=4; no surface-distance prior"
"flow05","../local_interim/flow05_b0250.mat","tracking/flow05/flow05_mentor_tracking.csv","","","","128","5","middle","12.7","6.7","249","","","3","","","4796d792521121ba909c1278660fd18c716a6c20","","","mentor_full_volume_viterbi_X4_X1width_persistent_zupper","","","raw OCT external; persistent-core paired-edge v2; alpha=0.20; noise=4; no surface-distance prior"
"flow05","../local_interim/flow05_b0500.mat","tracking/flow05/flow05_mentor_tracking.csv","","","","128","5","rear","12.7","6.7","499","","","3","","","4796d792521121ba909c1278660fd18c716a6c20","","","mentor_full_volume_viterbi_X4_X1width_persistent_zupper","","","raw OCT external; persistent-core paired-edge v2; alpha=0.20; noise=4; no surface-distance prior"
"flow07","../local_interim/flow07_b0001.mat","tracking/flow07/flow07_mentor_tracking.csv","","","","128","7","front","12.7","6.7","0","","","3","","","4796d792521121ba909c1278660fd18c716a6c20","","","mentor_full_volume_viterbi_X4_X1width_persistent_zupper","","","raw OCT external; persistent-core paired-edge v2; alpha=0.20; noise=4; no surface-distance prior"
"flow07","../local_interim/flow07_b0250.mat","tracking/flow07/flow07_mentor_tracking.csv","","","","128","7","middle","12.7","6.7","249","","","3","","","4796d792521121ba909c1278660fd18c716a6c20","","","mentor_full_volume_viterbi_X4_X1width_persistent_zupper","","","raw OCT external; persistent-core paired-edge v2; alpha=0.20; noise=4; no surface-distance prior"
"flow07","../local_interim/flow07_b0500.mat","tracking/flow07/flow07_mentor_tracking.csv","","","","128","7","rear","12.7","6.7","499","","","3","","","4796d792521121ba909c1278660fd18c716a6c20","","","mentor_full_volume_viterbi_X4_X1width_persistent_zupper","","","raw OCT external; persistent-core paired-edge v2; alpha=0.20; noise=4; no surface-distance prior"
"flow10","../local_interim/flow10_b0001.mat","tracking/flow10/flow10_mentor_tracking.csv","","","","128","10","front","12.7","6.7","0","","","3","","","4796d792521121ba909c1278660fd18c716a6c20","","","mentor_full_volume_viterbi_X4_X1width_persistent_zupper","","","raw OCT external; persistent-core paired-edge v2; alpha=0.20; noise=4; no surface-distance prior"
"flow10","../local_interim/flow10_b0250.mat","tracking/flow10/flow10_mentor_tracking.csv","","","","128","10","middle","12.7","6.7","249","","","3","","","4796d792521121ba909c1278660fd18c716a6c20","","","mentor_full_volume_viterbi_X4_X1width_persistent_zupper","","","raw OCT external; persistent-core paired-edge v2; alpha=0.20; noise=4; no surface-distance prior"
"flow10","../local_interim/flow10_b0500.mat","tracking/flow10/flow10_mentor_tracking.csv","","","","128","10","rear","12.7","6.7","499","","","3","","","4796d792521121ba909c1278660fd18c716a6c20","","","mentor_full_volume_viterbi_X4_X1width_persistent_zupper","","","raw OCT external; persistent-core paired-edge v2; alpha=0.20; noise=4; no surface-distance prior"
