panel,scan_id,flow_speed_mm_s,frame_index,alpha,noise_multiplier,z_peak_px,seed_z_upper_px,z_upper_px,upper_component_width_px,peak_snr,z_candidate_accepted,tracking_class,qc_valid,qc_flags
1x1,flow01,1,0,0.15,3.0,226.0,213.0,213.0,61,9.258927426061264,True,high_confidence,True,
1x2,flow01,1,249,0.15,3.0,205.0,199.0,198.0,38,5.911055290914592,True,high_confidence,True,
1x3,flow01,1,499,0.15,3.0,197.0,191.0,191.0,38,8.780156658499656,True,high_confidence,True,
1x1,flow01,1,0,0.2,3.0,226.0,213.0,213.0,61,9.258927426061264,True,high_confidence,True,
1x2,flow01,1,249,0.2,3.0,205.0,199.0,198.0,38,5.911055290914592,True,high_confidence,True,
1x3,flow01,1,499,0.2,3.0,197.0,191.0,191.0,38,8.780156658499656,True,high_confidence,True,
1x1,flow01,1,0,0.25,3.0,226.0,213.0,213.0,61,9.258927426061264,True,high_confidence,True,
1x2,flow01,1,249,0.25,3.0,205.0,199.0,198.0,38,5.911055290914592,True,high_confidence,True,
1x3,flow01,1,499,0.25,3.0,197.0,191.0,191.0,38,8.780156658499656,True,high_confidence,True,
1x1,flow01,1,0,0.15,4.0,226.0,214.0,214.0,51,9.258927426061264,True,high_confidence,True,
1x2,flow01,1,249,0.15,4.0,205.0,199.0,199.0,18,5.911055290914592,True,high_confidence,True,
1x3,flow01,1,499,0.15,4.0,197.0,192.0,192.0,35,8.780156658499656,True,high_confidence,True,
1x1,flow01,1,0,0.2,4.0,226.0,214.0,214.0,51,9.258927426061264,True,high_confidence,True,
1x2,flow01,1,249,0.2,4.0,205.0,199.0,199.0,18,5.911055290914592,True,high_confidence,True,
1x3,flow01,1,499,0.2,4.0,197.0,192.0,192.0,35,8.780156658499656,True,high_confidence,True,
1x1,flow01,1,0,0.25,4.0,226.0,214.0,214.0,51,9.258927426061264,True,high_confidence,True,
1x2,flow01,1,249,0.25,4.0,205.0,199.0,199.0,18,5.911055290914592,True,high_confidence,True,
1x3,flow01,1,499,0.25,4.0,197.0,192.0,192.0,35,8.780156658499656,True,high_confidence,True,
1x1,flow01,1,0,0.15,5.0,226.0,214.0,214.0,32,9.258927426061264,True,high_confidence,True,
1x2,flow01,1,249,0.15,5.0,205.0,199.0,197.0,5,5.911055290914592,True,high_confidence,True,
1x3,flow01,1,499,0.15,5.0,197.0,192.0,192.0,16,8.780156658499656,True,high_confidence,True,
1x1,flow01,1,0,0.2,5.0,226.0,214.0,214.0,32,9.258927426061264,True,high_confidence,True,
1x2,flow01,1,249,0.2,5.0,205.0,199.0,197.0,5,5.911055290914592,True,high_confidence,True,
1x3,flow01,1,499,0.2,5.0,197.0,192.0,192.0,16,8.780156658499656,True,high_confidence,True,
1x1,flow01,1,0,0.25,5.0,226.0,214.0,214.0,32,9.258927426061264,True,high_confidence,True,
1x2,flow01,1,249,0.25,5.0,205.0,199.0,197.0,5,5.911055290914592,True,high_confidence,True,
1x3,flow01,1,499,0.25,5.0,197.0,192.0,192.0,16,8.780156658499656,True,high_confidence,True,
2x1,flow03,3,0,0.15,3.0,218.0,210.0,210.0,43,13.602696706506656,True,high_confidence,True,
2x2,flow03,3,249,0.15,3.0,199.0,187.0,190.0,75,73.1060362989918,True,high_confidence,True,
2x3,flow03,3,499,0.15,3.0,205.0,196.0,196.0,35,10.745413905220323,True,high_confidence,True,
2x1,flow03,3,0,0.2,3.0,218.0,210.0,210.0,43,13.602696706506656,True,high_confidence,True,
2x2,flow03,3,249,0.2,3.0,199.0,187.0,190.0,74,73.1060362989918,True,high_confidence,True,
2x3,flow03,3,499,0.2,3.0,205.0,196.0,196.0,35,10.745413905220323,True,high_confidence,True,
2x1,flow03,3,0,0.25,3.0,218.0,210.0,210.0,42,13.602696706506656,True,high_confidence,True,
2x2,flow03,3,249,0.25,3.0,199.0,188.0,190.0,66,73.1060362989918,True,high_confidence,True,
2x3,flow03,3,499,0.25,3.0,205.0,196.0,196.0,35,10.745413905220323,True,high_confidence,True,
2x1,flow03,3,0,0.15,4.0,218.0,210.0,210.0,38,13.602696706506656,True,high_confidence,True,
2x2,flow03,3,249,0.15,4.0,199.0,187.0,189.0,75,73.1060362989918,True,high_confidence,True,
2x3,flow03,3,499,0.15,4.0,205.0,196.0,196.0,35,10.745413905220323,True,high_confidence,True,
2x1,flow03,3,0,0.2,4.0,218.0,210.0,210.0,38,13.602696706506656,True,high_confidence,True,
2x2,flow03,3,249,0.2,4.0,199.0,187.0,189.0,74,73.1060362989918,True,high_confidence,True,
2x3,flow03,3,499,0.2,4.0,205.0,196.0,196.0,35,10.745413905220323,True,high_confidence,True,
2x1,flow03,3,0,0.25,4.0,218.0,210.0,210.0,38,13.602696706506656,True,high_confidence,True,
2x2,flow03,3,249,0.25,4.0,199.0,188.0,190.0,66,73.1060362989918,True,high_confidence,True,
2x3,flow03,3,499,0.25,4.0,205.0,196.0,196.0,35,10.745413905220323,True,high_confidence,True,
2x1,flow03,3,0,0.15,5.0,218.0,214.0,213.0,35,13.602696706506656,True,high_confidence,True,
2x2,flow03,3,249,0.15,5.0,199.0,187.0,189.0,75,73.1060362989918,True,high_confidence,True,
2x3,flow03,3,499,0.15,5.0,205.0,197.0,197.0,33,10.745413905220323,True,high_confidence,True,
2x1,flow03,3,0,0.2,5.0,218.0,214.0,213.0,35,13.602696706506656,True,high_confidence,True,
2x2,flow03,3,249,0.2,5.0,199.0,187.0,189.0,74,73.1060362989918,True,high_confidence,True,
2x3,flow03,3,499,0.2,5.0,205.0,197.0,197.0,33,10.745413905220323,True,high_confidence,True,
2x1,flow03,3,0,0.25,5.0,218.0,214.0,213.0,35,13.602696706506656,True,high_confidence,True,
2x2,flow03,3,249,0.25,5.0,199.0,188.0,190.0,66,73.1060362989918,True,high_confidence,True,
2x3,flow03,3,499,0.25,5.0,205.0,197.0,197.0,33,10.745413905220323,True,high_confidence,True,
3x1,flow05,5,0,0.15,3.0,216.0,211.0,211.0,81,22.420053599499123,True,high_confidence,True,
3x2,flow05,5,249,0.15,3.0,216.0,198.0,196.0,29,5.271529875226462,True,high_confidence,True,
3x3,flow05,5,499,0.15,3.0,205.0,194.0,194.0,23,4.4085635234325835,True,high_confidence,True,
3x1,flow05,5,0,0.2,3.0,216.0,211.0,211.0,81,22.420053599499123,True,high_confidence,True,
3x2,flow05,5,249,0.2,3.0,216.0,198.0,196.0,29,5.271529875226462,True,high_confidence,True,
3x3,flow05,5,499,0.2,3.0,205.0,194.0,194.0,23,4.4085635234325835,True,high_confidence,True,
3x1,flow05,5,0,0.25,3.0,216.0,211.0,211.0,81,22.420053599499123,True,high_confidence,True,
3x2,flow05,5,249,0.25,3.0,216.0,198.0,196.0,29,5.271529875226462,True,high_confidence,True,
3x3,flow05,5,499,0.25,3.0,205.0,194.0,194.0,23,4.4085635234325835,True,high_confidence,True,
3x1,flow05,5,0,0.15,4.0,216.0,211.0,211.0,81,22.420053599499123,True,high_confidence,True,
3x2,flow05,5,249,0.15,4.0,216.0,198.0,196.0,10,5.271529875226462,True,high_confidence,True,
3x3,flow05,5,499,0.15,4.0,205.0,194.0,194.0,9,4.4085635234325835,True,high_confidence,True,
3x1,flow05,5,0,0.2,4.0,216.0,211.0,211.0,81,22.420053599499123,True,high_confidence,True,
3x2,flow05,5,249,0.2,4.0,216.0,198.0,196.0,10,5.271529875226462,True,high_confidence,True,
3x3,flow05,5,499,0.2,4.0,205.0,194.0,194.0,9,4.4085635234325835,True,high_confidence,True,
3x1,flow05,5,0,0.25,4.0,216.0,211.0,211.0,81,22.420053599499123,True,high_confidence,True,
3x2,flow05,5,249,0.25,4.0,216.0,198.0,196.0,10,5.271529875226462,True,high_confidence,True,
