scan_id,z_index_0based,z_um,r_um,distance_from_vessel_bottom_um,V,B_left,B_right,B,B_standard_deviation,B_median_diagnostic,B_scaled_mad_diagnostic,background_mode,T,P,tail_z_fraction,background_left_valid_count,background_right_valid_count,region,validity,frame_id,bscan_index,flow_speed_mm_s
flow01,0,0.0,-1457.95,-1457.95,5233265.136118536,6684704.155507959,2505082.6689441763,4594893.412226068,4105869.8245443716,3301960.208339356,2974651.5780086224,bilateral,638371.7238924687,105395171.61464657,0.0,5,5,other,valid,flow01_Bscan249,249,1.0
flow01,1,6.7,-1451.25,-1451.25,4900312.884382134,4002165.124206985,4682168.610768974,4342166.867487979,5649083.708010197,1981977.1572466171,2751348.9392661117,bilateral,558146.016894155,92149907.38922498,0.0,5,5,other,valid,flow01_Bscan249,249,1.0
flow01,2,13.4,-1444.55,-1444.55,4907560.472979059,6701152.865848985,5662362.048484825,6181757.457166905,6662142.0040930845,3438282.1729229037,2980467.172607709,bilateral,-1274196.984187845,-210369922.08941317,0.0,5,5,other,valid,flow01_Bscan249,249,1.0
flow01,3,20.1,-1437.8500000000001,-1437.8500000000001,5467160.325319107,3347311.9588758694,1360559.4593003422,2353935.7090881057,1743363.4973718065,2043316.681807836,2263866.7141538686,bilateral,3113224.616231001,513993384.1397382,0.0,5,5,other,valid,flow01_Bscan249,249,1.0
flow01,4,26.8,-1431.15,-1431.15,4479544.1783447005,5057667.413560515,5221055.110933159,5139361.262246838,4278178.3938797265,3093616.5895669106,2082980.837181817,bilateral,-659817.0839021372,-108935800.55224285,0.0,5,5,other,valid,flow01_Bscan249,249,1.0
flow01,5,33.5,-1424.45,-1424.45,6527979.356095564,7870070.577469873,6673845.608444325,7271958.092957099,5441821.825208197,5780386.885161681,6053843.782553256,bilateral,-743978.736861535,-122830889.45583943,0.0,5,5,other,valid,flow01_Bscan249,249,1.0
flow01,6,40.2,-1417.75,-1417.75,4119484.676145196,2647270.5118601285,3003889.13273774,2825579.8222989338,2214003.7109898296,2051024.5794475728,1450055.780088375,bilateral,1293904.8538462615,213623691.37001774,0.0,5,5,other,valid,flow01_Bscan249,249,1.0
flow01,7,46.9,-1411.05,-1411.05,5644749.222840117,5920205.914666189,7678735.038568823,6799470.476617506,2410171.212592885,6149441.548294833,1877481.0011838689,bilateral,-1154721.2537773876,-190644478.99864668,0.0,5,5,other,valid,flow01_Bscan249,249,1.0
flow01,8,53.6,-1404.3500000000001,-1404.3500000000001,3475743.256514839,8636249.899130413,3501787.1213135906,6069018.510222002,5465478.644420334,3689978.2814395456,5233834.404129714,bilateral,-2593275.2537071626,-428149744.3870525,0.0,5,5,other,valid,flow01_Bscan249,249,1.0
flow01,9,60.300000000000004,-1397.65,-1397.65,4260344.801342034,2455926.906548218,6672007.4243767,4563967.1654624585,4056394.8962734086,3053569.129538254,2522739.3467649356,bilateral,-303622.3641204244,-50128052.31628206,0.0,5,5,other,valid,flow01_Bscan249,249,1.0
flow01,10,67.0,-1390.95,-1390.95,7375557.062730828,5766692.652920877,2356118.814196468,4061405.7335586725,4841610.139238928,2303183.66661336,1712167.4547366481,bilateral,3314151.3291721544,547166384.4463227,0.0,5,5,other,valid,flow01_Bscan249,249,1.0
flow01,11,73.7,-1384.25,-1384.25,4987510.952495066,3895440.847844545,3697081.399354603,3796261.123599574,4362843.302064396,2073088.4639546983,1584625.9982875008,bilateral,1191249.8288954913,196675346.7506456,0.0,5,5,other,valid,flow01_Bscan249,249,1.0
flow01,12,80.4,-1377.55,-1377.55,4403125.872819657,4606102.447500366,3364209.8960192935,3985156.1717598303,2608256.4280196815,3770704.751370238,2700532.1862351797,bilateral,417969.7010598267,69006797.64497739,0.0,5,5,other,valid,flow01_Bscan249,249,1.0
flow01,13,87.10000000000001,-1370.8500000000001,-1370.8500000000001,2572735.186113635,4500970.3733110735,3258884.9778069416,3879927.6755590066,2759170.2286131335,2644349.9931396404,2172386.1366724633,bilateral,-1307192.4894453713,-215817480.00743082,0.0,5,5,other,valid,flow01_Bscan249,249,1.0
flow01,14,93.8,-1364.15,-1364.15,3788902.3082040134,2379986.7654530737,5111539.519136064,3745763.1422945694,5717875.598833758,1078464.003390238,819397.1710739852,bilateral,43139.16590944451,7122276.2916492885,0.0,5,5,other,valid,flow01_Bscan249,249,1.0
flow01,15,100.5,-1357.45,-1357.45,4400022.725800712,5197076.588711912,2790214.0601048046,3993645.324408357,3639468.397614362,3369068.905590392,3755356.792346916,bilateral,406377.4013923547,67092908.96987776,0.0,5,5,other,valid,flow01_Bscan249,249,1.0
flow01,16,107.2,-1350.75,-1350.75,5137320.667673417,3727559.303946335,4431192.189748739,4079375.7468475364,3810079.806671155,2895158.6631013523,3026966.484360499,bilateral,1057944.9208258805,174666706.42835286,0.0,5,5,other,valid,flow01_Bscan249,249,1.0
flow01,17,113.9,-1344.05,-1344.05,8516227.202107249,14413161.843315622,4210495.72185358,9311828.782584602,7920440.710421242,6165089.976050505,7797663.040669953,bilateral,-795601.5804773531,-131353820.93681099,0.0,5,5,other,valid,flow01_Bscan249,249,1.0
flow01,18,120.60000000000001,-1337.3500000000001,-1337.3500000000001,5475825.9344283,1907563.4661432889,5635133.344325544,3771348.4052344165,3314946.486031991,2767442.1156933196,3737810.667369309,bilateral,1704477.5291938833,281409240.0699101,0.0,5,5,other,valid,flow01_Bscan249,249,1.0
flow01,19,127.3,-1330.65,-1330.65,2663198.73467956,5704401.909819714,5268789.616202032,5486595.763010873,3823551.5639711833,3920136.909490217,4277254.267856788,bilateral,-2823397.028331314,-466142849.37749994,0.0,5,5,other,valid,flow01_Bscan249,249,1.0
flow01,20,134.0,-1323.95,-1323.95,4383931.338139547,4162082.7411104506,2868955.0006140806,3515518.8708622656,3419346.846801389,1645741.9141168417,974347.9589935624,bilateral,868412.4672772815,143374898.34747916,0.0,5,5,other,valid,flow01_Bscan249,249,1.0
flow01,21,140.70000000000002,-1317.25,-1317.25,3177535.4246305344,1144817.7346319084,1291953.1194215822,1218385.4270267454,1006468.543658348,1005893.4693567889,1081558.5544978234,bilateral,1959149.9976037887,323455664.6043855,0.0,5,5,other,valid,flow01_Bscan249,249,1.0
flow01,22,147.4,-1310.55,-1310.55,4328490.862975566,2692097.9627747373,3284659.4147849292,2988378.6887798333,2033399.7831591119,2796773.069368587,1889481.3102763447,bilateral,1340112.1741957332,221252519.95971555,0.0,5,5,other,valid,flow01_Bscan249,249,1.0
flow01,23,154.1,-1303.8500000000001,-1303.8500000000001,3811381.1558465157,7240136.213832507,1968250.1002108627,4604193.157021685,5165096.880552493,1623280.050786839,2369647.9639668553,bilateral,-792812.0011751688,-130893261.39402035,0.0,5,5,other,valid,flow01_Bscan249,249,1.0
flow01,24,160.8,-1297.15,-1297.15,3788688.628899968,7135884.604505646,3572582.702042842,5354233.653274245,4495991.962457703,4707949.721292527,4433717.34247,bilateral,-1565545.0243742764,-258471483.52419302,0.0,5,5,other,valid,flow01_Bscan249,249,1.0
flow01,25,167.5,-1290.45,-1290.45,5154360.2306725485,6095586.559173824,2287984.4776011053,4191785.5183874653,3045339.936534615,3591124.6059735827,3405683.901033355,bilateral,962574.7122850829,158921084.99826717,0.0,5,5,other,valid,flow01_Bscan249,249,1.0
