"scan_id","source_file","vessel_id","phantom_id","session_id","diameter_um","flow_speed_mm_s","position_label","dx_um","dz_um","bscan_index","slow_axis_position_um","temporal_repeat_id","temporal_repeat_count","scan_time_interval_s","acquisition_order","reconstruction_version","x_anchor_center_px","z_anchor_center_px","geometry_source","background_excluded_side","background_exclusion_reason","notes","frame_id","resolved_source_file","input_map_format","input_metadata_qc_status","input_bscan_index_matlab_1based","input_declared_sv_definition","input_dimension_order","manifest_identity_complete","manifest_phantom_id_known","manifest_acquisition_metadata_complete","localization_image","lateral_method","lateral_threshold_sigma","top_method","coordinate_convention","coarse_method","coarse_valid","coarse_invalid_reason","coarse_surface_z_center_px","coarse_surface_to_vessel_top_um","coarse_effective_refractive_index","coarse_predicted_z_top_center_px","coarse_x_anchor_center_px","coarse_search_z_start_px","coarse_search_z_stop_px","coarse_peak_score","coarse_background_score","coarse_background_sigma","coarse_peak_cnr","lateral_valid","lateral_invalid_reason","lateral_x_anchor_center_px","lateral_x_left_center_px","lateral_x_right_center_px","lateral_x1_local_geometry_center_px","lateral_fallback","lateral_run_width_px","lateral_expected_lateral_width_px","lateral_local_background","lateral_local_sigma","lateral_peak_cnr","lateral_axial_completeness","top_valid","top_invalid_reason","top_z_anchor_center_px","top_z_top_center_px","top_fallback","top_local_background","top_local_sigma","top_peak_cnr","source_qc_valid","geometry_qc_valid","background_qc_valid","background_modes","window_qc_valid","q_vessel","q_tail","ratio_tail_to_vessel","q_tail_direct_check","source_area_um2","tail_area_um2","requested_tail_area_um2","source_mean","tail_window_complete","source_window_complete","background_complete","valid","invalid_reason","tail_gap_um","requested_tail_length_um","lateral_width_um","x_left_edge_px","x_right_edge_px","z_top_edge_px","z_bottom_edge_px","detection_qc_status","tail_detected","detectable_length_um","detection_right_censored","detection_qc_valid","detection_not_evaluable_reason","blank_profile_key"
"flow01","../local_interim/flow01_b0001.mat","","","","128.0","1","front","12.7","6.7","0","","","3","","","4796d792521121ba909c1278660fd18c716a6c20","","","fixed_surface_z176_200um_global_omag","","","raw OCT external; automatic x from fixed surface z=176 and 200 um top-depth prior","flow01_Bscan000","../local_interim/flow01_b0001.mat","mat-v5-v7","verified_export_metadata","1","var(abs(E), 1, 3)","depth x A-line","False","False","False","omag_raw","mentor_X1_local_q75_continuous_run","1.5","X1_centreline_three_column_sustained_edge","zero_based_pixel_centres","fixed_surface_global_log_omag_mad","True","ok","176.0","200.0","1.12","209.43283582089552","231.0","203","239","1.4724196283417936","0.3285175694201707","0.0871167278320199","13.13068210191866","True","ok","231.0","225","233","229.0","False","9","10","5911.700724993273","1141.0481084828502","15.833645416150805","0.5789473684210527","True","ok","209.43283582089552","215.0","False","5454.978791120248","1466.684247580153","11.517688300478875","True","True","True","bilateral","True","1898914363909.7666","1079795908139.8783","0.5686385487740659","1079795908139.8784","11495.791953125","57149.99999999999","57150.0","165183431.61156183","True","True","True","True","ok","0.0","500.0","114.3","224.5","233.5","214.5","233.6044776119403","not_run_missing_matched_blank_profiles","False","","False","False","matched blank profiles not supplied",""
"flow01","../local_interim/flow01_b0250.mat","","","","128.0","1","middle","12.7","6.7","249","","","3","","","4796d792521121ba909c1278660fd18c716a6c20","","","fixed_surface_z176_200um_global_omag","","","raw OCT external; automatic x from fixed surface z=176 and 200 um top-depth prior","flow01_Bscan249","../local_interim/flow01_b0250.mat","mat-v5-v7","verified_export_metadata","250","var(abs(E), 1, 3)","depth x A-line","False","False","False","omag_raw","mentor_X1_local_q75_continuous_run","1.5","X1_centreline_three_column_sustained_edge","zero_based_pixel_centres","fixed_surface_global_log_omag_mad","True","ok","176.0","200.0","1.12","209.43283582089552","240.0","203","239","1.5981042529124085","0.30348329024740783","0.029902991558961946","43.29402829520587","True","ok","240.0","234","246","240.0","False","13","10","5574.980558866833","1035.8751662798263","14.48396416436108","0.9473684210526315","True","ok","209.43283582089552","200.0","False","4385.02676544323","1345.4999402042038","18.53528510053687","True","True","True","bilateral","True","2634134106125.3","1169263872766.3687","0.44388927277749973","1169263872766.3687","16597.868125","82549.99999999999","82550.0","158703159.12184653","True","True","True","True","ok","0.0","500.0","165.1","233.5","246.5","199.5","218.6044776119403","not_run_missing_matched_blank_profiles","False","","False","False","matched blank profiles not supplied",""
"flow01","../local_interim/flow01_b0500.mat","","","","128.0","1","rear","12.7","6.7","499","","","3","","","4796d792521121ba909c1278660fd18c716a6c20","","","fixed_surface_z176_200um_global_omag","","","raw OCT external; automatic x from fixed surface z=176 and 200 um top-depth prior","flow01_Bscan499","../local_interim/flow01_b0500.mat","mat-v5-v7","verified_export_metadata","500","var(abs(E), 1, 3)","depth x A-line","False","False","False","omag_raw","mentor_X1_local_q75_continuous_run","1.5","X1_centreline_three_column_sustained_edge","zero_based_pixel_centres","fixed_surface_global_log_omag_mad","True","ok","176.0","200.0","1.12","209.43283582089552","249.0","203","239","1.3063377430625844","0.2988116936220518","0.0721741539658259","13.959651676936751","True","ok","249.0","243","255","249.0","False","13","10","6630.550358148274","1283.5055967269075","7.255536133477518","0.5789473684210527","True","ok","209.43283582089552","206.0","False","8085.985783942208","3372.9815803274187","4.734415828578723","True","True","True","bilateral","True","1613785806435.8455","593787839575.2262","0.36794711987624096","593787839575.2263","16597.868125","82549.99999999999","82550.0","97228499.12303695","True","True","True","True","ok","0.0","500.0","165.1","242.5","255.5","205.5","224.6044776119403","not_run_missing_matched_blank_profiles","False","","False","False","matched blank profiles not supplied",""
"flow03","../local_interim/flow03_b0001.mat","","","","128.0","3","front","12.7","6.7","0","","","3","","","4796d792521121ba909c1278660fd18c716a6c20","","","fixed_surface_z176_200um_global_omag","","","raw OCT external; automatic x from fixed surface z=176 and 200 um top-depth prior","flow03_Bscan000","../local_interim/flow03_b0001.mat","mat-v5-v7","verified_export_metadata","1","var(abs(E), 1, 3)","depth x A-line","False","False","False","omag_raw","mentor_X1_local_q75_continuous_run","1.5","X1_centreline_three_column_sustained_edge","zero_based_pixel_centres","fixed_surface_global_log_omag_mad","True","ok","176.0","200.0","1.12","209.43283582089552","234.0","203","239","1.3850175819190775","0.3279965589067181","0.06543467416285613","16.153836425953738","True","ok","234.0","228","241","234.5","False","14","10","6299.767249988576","559.0805365283859","28.788385483826932","0.8421052631578947","True","ok","209.43283582089552","213.0","False","5921.317810150678","1409.9161321640995","11.1940429748503","True","True","True","bilateral","True","2122384604331.396","1083488350082.0449","0.5105051873589946","1083488350082.045","17878.20671875","88899.99999999999","88899.99999999999","118713506.21007854","True","True","True","True","ok","0.0","500.0","177.79999999999998","227.5","241.5","212.5","231.6044776119403","not_run_missing_matched_blank_profiles","False","","False","False","matched blank profiles not supplied",""
"flow03","../local_interim/flow03_b0250.mat","","","","128.0","3","middle","12.7","6.7","249","","","3","","","4796d792521121ba909c1278660fd18c716a6c20","","","fixed_surface_z176_200um_global_omag","","","raw OCT external; automatic x from fixed surface z=176 and 200 um top-depth prior","flow03_Bscan249","../local_interim/flow03_b0250.mat","mat-v5-v7","verified_export_metadata","250","var(abs(E), 1, 3)","depth x A-line","False","False","False","omag_raw","mentor_X1_local_q75_continuous_run","1.5","X1_centreline_three_column_sustained_edge","zero_based_pixel_centres","fixed_surface_global_log_omag_mad","True","ok","176.0","200.0","1.12","209.43283582089552","244.0","203","239","1.3410265024081136","0.31550176727853496","0.03628719172419644","28.261341988769956","True","ok","244.0","239","250","244.5","False","12","10","5525.710016044637","831.4648819941004","10.612566036573993","0.5789473684210527","True","ok","209.43283582089552","200.0","False","8984.212432801643","5124.788666102325","2.2317037779119415","True","True","True","bilateral","True","1915289157213.269","853350484675.0785","0.44554655439949176","853350484675.0785","15324.177187500001","76199.99999999999","76199.99999999999","124984795.84114824","True","True","True","True","ok","0.0","500.0","152.39999999999998","238.5","250.5","199.5","218.6044776119403","not_run_missing_matched_blank_profiles","False","","False","False","matched blank profiles not supplied",""
"flow03","../local_interim/flow03_b0500.mat","","","","128.0","3","rear","12.7","6.7","499","","","3","","","4796d792521121ba909c1278660fd18c716a6c20","","","fixed_surface_z176_200um_global_omag","","","raw OCT external; automatic x from fixed surface z=176 and 200 um top-depth prior","flow03_Bscan499","../local_interim/flow03_b0500.mat","mat-v5-v7","verified_export_metadata","500","var(abs(E), 1, 3)","depth x A-line","False","False","False","omag_raw","mentor_X1_local_q75_continuous_run","1.5","X1_centreline_three_column_sustained_edge","zero_based_pixel_centres","fixed_surface_global_log_omag_mad","True","ok","176.0","200.0","1.12","209.43283582089552","245.0","203","239","1.3493124340381397","0.33240634006542696","0.08173687727451293","12.441215371581158","True","ok","245.0","240","250","245.0","False","11","10","5534.603752414854","655.5560119583831","19.344016553326576","0.8421052631578947","True","ok","209.43283582089552","200.0","False","3845.231701424754","673.8637239009121","47.23390166063754","True","True","True","bilateral","True","1814287747418.7368","1036208887053.2222","0.5711381166121415","1036208887053.2223","14046.497656250001","69850.0","69850.0","129162997.91012089","True","True","True","True","ok","0.0","500.0","139.7","239.5","250.5","199.5","218.6044776119403","not_run_missing_matched_blank_profiles","False","","False","False","matched blank profiles not supplied",""
"flow05","../local_interim/flow05_b0001.mat","","","","128.0","5","front","12.7","6.7","0","","","3","","","4796d792521121ba909c1278660fd18c716a6c20","","","fixed_surface_z176_200um_global_omag","","","raw OCT external; automatic x from fixed surface z=176 and 200 um top-depth prior","flow05_Bscan000","../local_interim/flow05_b0001.mat","mat-v5-v7","verified_export_metadata","1","var(abs(E), 1, 3)","depth x A-line","False","False","False","omag_raw","mentor_X1_local_q75_continuous_run","1.5","X1_centreline_three_column_sustained_edge","zero_based_pixel_centres","fixed_surface_global_log_omag_mad","True","ok","176.0","200.0","1.12","209.43283582089552","234.0","203","239","1.4183309241562334","0.3112514781260599","0.07206719273010567","15.361767318677547","True","ok","234.0","227","241","234.0","False","15","10","5149.649419195146","786.4829502284593","21.721052995792512","0.8947368421052632","True","ok","209.43283582089552","214.0","False","5121.338322683877","3353.3581938247858","5.92207735381245","True","True","True","bilateral","True","2996655386353.4565","868257294286.3994","0.2897421232485984","868257294286.3994","19158.545312500002","95249.99999999999","95250.0","156413513.5248649","True","True","True","True","ok","0.0","500.0","190.5","226.5","241.5","213.5","232.6044776119403","not_run_missing_matched_blank_profiles","False","","False","False","matched blank profiles not supplied",""
"flow05","../local_interim/flow05_b0250.mat","","","","128.0","5","middle","12.7","6.7","249","","","3","","","4796d792521121ba909c1278660fd18c716a6c20","","","fixed_surface_z176_200um_global_omag","","","raw OCT external; automatic x from fixed surface z=176 and 200 um top-depth prior","flow05_Bscan249","../local_interim/flow05_b0250.mat","mat-v5-v7","verified_export_metadata","250","var(abs(E), 1, 3)","depth x A-line","False","False","False","omag_raw","mentor_X1_local_q75_continuous_run","1.5","X1_centreline_three_column_sustained_edge","zero_based_pixel_centres","fixed_surface_global_log_omag_mad","True","ok","176.0","200.0","1.12","209.43283582089552","242.0","203","239","1.3940837037847102","0.31543871321834843","0.03240746978945614","33.28383849692894","True","ok","242.0","236","247","241.5","False","12","10","5944.736199174413","891.5840501301228","15.786390606689638","0.6842105263157895","True","ok","209.43283582089552","200.0","False","2772.674621811296","678.6207583305127","32.996099659505205","True","True","True","bilateral","True","2046264244474.244","805281301137.1171","0.3935372976934471","805281301137.1173","15324.177187500001","76199.99999999999","76199.99999999999","133531753.08775407","True","True","True","True","ok","0.0","500.0","152.39999999999998","235.5","247.5","199.5","218.6044776119403","not_run_missing_matched_blank_profiles","False","","False","False","matched blank profiles not supplied",""
"flow05","../local_interim/flow05_b0500.mat","","","","128.0","5","rear","12.7","6.7","499","","","3","","","4796d792521121ba909c1278660fd18c716a6c20","","","fixed_surface_z176_200um_global_omag","","","raw OCT external; automatic x from fixed surface z=176 and 200 um top-depth prior","flow05_Bscan499","../local_interim/flow05_b0500.mat","mat-v5-v7","verified_export_metadata","500","var(abs(E), 1, 3)","depth x A-line","False","False","False","omag_raw","mentor_X1_local_q75_continuous_run","1.5","X1_centreline_three_column_sustained_edge","zero_based_pixel_centres","fixed_surface_global_log_omag_mad","True","ok","176.0","200.0","1.12","209.43283582089552","247.0","203","239","1.2343166231865927","0.30676677620761605","0.07313094032117819","12.683412012827148","True","ok","247.0","241","255","248.0","False","15","10","6032.850392717211","726.2587575770403","13.50532924707304","0.631578947368421","True","ok","209.43283582089552","208.0","False","6732.265305562242","3643.233005820333","3.201630571721414","True","True","True","bilateral","True","1026954780517.7585","502802592935.9065","0.4896053871840483","502802592935.90656","19158.545312500002","95249.99999999999","95250.0","53602962.21695503","True","True","True","True","ok","0.0","500.0","190.5","240.5","255.5","207.5","226.6044776119403","not_run_missing_matched_blank_profiles","False","","False","False","matched blank profiles not supplied",""
"flow07","../local_interim/flow07_b0001.mat","","","","128.0","7","front","12.7","6.7","0","","","3","","","4796d792521121ba909c1278660fd18c716a6c20","","","fixed_surface_z176_200um_global_omag","","","raw OCT external; automatic x from fixed surface z=176 and 200 um top-depth prior","flow07_Bscan000","../local_interim/flow07_b0001.mat","mat-v5-v7","verified_export_metadata","1","var(abs(E), 1, 3)","depth x A-line","False","False","False","omag_raw","mentor_X1_local_q75_continuous_run","1.5","X1_centreline_three_column_sustained_edge","zero_based_pixel_centres","fixed_surface_global_log_omag_mad","True","ok","176.0","200.0","1.12","209.43283582089552","230.0","203","239","1.182762998370022","0.33508185175308824","0.07529499626093386","11.258133856323008","True","ok","230.0","224","233","228.5","False","10","10","5425.630314701261","1030.2845370131536","15.176418482435468","0.5789473684210527","True","no_sustained_top_edge","209.43283582089552","209.0","True","5083.090250247195","3045.682957400684","2.3705670391523905","False","True","True","bilateral","True","1383305103357.1875","1568499975512.5693","","1568499975512.5696","12770.147656250001","63499.99999999999","63500.0","108323344.45875937","True","True","True","False","source_qc_failed","0.0","500.0","127.0","223.5","233.5","208.5","227.6044776119403","not_run_upstream_qc_failed","False","","False","False","source_qc_failed",""
