scan_id,z_index_0based,z_um,r_um,distance_from_vessel_bottom_um,V,B_left,B_right,B,B_standard_deviation,B_median_diagnostic,B_scaled_mad_diagnostic,background_mode,T,P,tail_z_fraction,background_left_valid_count,background_right_valid_count,region,validity,frame_id,bscan_index,flow_speed_mm_s
flow10,0,0.0,-1524.95,-1524.95,8055546.061058806,8334730.476378925,6459563.033103747,7397146.754741336,8316615.165201564,5434803.479170582,5470055.224283134,bilateral,658399.30631747,133786739.04370978,0.0,5,5,other,valid,flow10_Bscan499,499,10.0
flow10,1,6.7,-1518.25,-1518.25,9199673.152785068,5869340.785848697,8368298.759498401,7118819.772673549,4969019.750473514,5021107.895347942,3719075.5581460833,bilateral,2080853.3801115192,422829406.8386607,0.0,5,5,other,valid,flow10_Bscan499,499,10.0
flow10,2,13.4,-1511.55,-1511.55,11575898.0009052,12763455.75228994,4579972.130466762,8671713.941378351,9844021.581984365,6727681.948768696,7090965.288230531,bilateral,2904184.0595268495,590130200.8958558,0.0,5,5,other,valid,flow10_Bscan499,499,10.0
flow10,3,20.1,-1504.8500000000001,-1504.8500000000001,8850666.319570981,16315263.672497217,7973002.572100468,12144133.12229884,14755679.414918955,7895533.956183763,6001186.2625801815,bilateral,-3293466.8027278595,-669232454.3143013,0.0,5,5,other,valid,flow10_Bscan499,499,10.0
flow10,4,26.8,-1498.15,-1498.15,8499350.348513326,2867122.5777584678,5866373.233503059,4366747.905630763,2918261.709769617,3581896.9368278123,2077118.983059453,bilateral,4132602.442882563,839744816.3937367,0.0,5,5,other,valid,flow10_Bscan499,499,10.0
flow10,5,33.5,-1491.45,-1491.45,6959327.617101934,8688647.785264608,3298473.863366325,5993560.824315467,6196883.830647353,3322822.814485724,2146885.3912116503,bilateral,965766.7927864669,196243812.2942099,0.0,5,5,other,valid,flow10_Bscan499,499,10.0
flow10,6,40.2,-1484.75,-1484.75,6599912.522500312,6700266.492739412,17387683.879501052,12043975.18612023,16569901.777714625,6282248.2477460215,6732597.29363886,bilateral,-5444062.663619919,-1106233533.247568,0.0,5,5,other,valid,flow10_Bscan499,499,10.0
flow10,7,46.9,-1478.05,-1478.05,7642668.585398026,3909648.586364463,13817130.853652114,8863389.720008288,6561024.652419331,9992807.447092965,8127674.486986829,bilateral,-1220721.1346102618,-248050534.5528052,0.0,5,5,other,valid,flow10_Bscan499,499,10.0
flow10,8,53.6,-1471.3500000000001,-1471.3500000000001,7454107.840090793,3628516.9663935676,5923485.529904521,4776001.248149044,4324498.665480596,3226820.0677857418,3610154.9634994543,bilateral,2678106.5919417487,544191259.482563,0.0,5,5,other,valid,flow10_Bscan499,499,10.0
flow10,9,60.300000000000004,-1464.65,-1464.65,7278396.149776577,8807152.738172906,4285488.266578797,6546320.50237585,6815860.308621767,4601326.133688998,2441867.6594433375,bilateral,732075.6474007266,148757771.55182764,0.0,5,5,other,valid,flow10_Bscan499,499,10.0
flow10,10,67.0,-1457.95,-1457.95,5303187.701211257,8414956.868245443,5359299.566487987,6887128.217366716,9141952.93012368,3504423.907307629,2666886.123123564,bilateral,-1583940.516155459,-321856712.8827893,0.0,5,5,other,valid,flow10_Bscan499,499,10.0
