bin_start_r_px,bin_end_r_px,bin_center_r_px,T_bin_median,H_peak,H_median
0,4,2,100222244.625608,0.241521001184067,0.470388725139353
5,9,7,26136277.0923842,0.0629846181769105,0.122669474299862
10,14,12,37953157.6466129,0.0914615778877151,0.178131486748218
15,19,17,5722006.92636055,0.0137892026545537,0.0268559894401084
20,24,22,30530635.1730193,0.0735743806309547,0.143294201904772
25,29,27,8241321.17152461,0.0198603827709272,0.0386802807482412
30,34,32,5190869.7637767,0.0125092395111166,0.0243631203797989
35,39,37,-918200.505408809,-0.00221272938141109,-0.00430953394403623
40,44,42,28080755.5592476,0.0676705278554661,0.131795799004578
45,49,47,7146642.90552495,0.0172223677098364,0.0335424561474762
50,54,52,-1244373.68446497,-0.00299875920003386,-0.0058404135051958
55,59,57,11721785.8454557,0.0282477953236374,0.0550156895886523
60,64,62,25360896.3262449,0.0611160635497774,0.119030258560439
65,69,67,-5486313.40669665,-0.0132212156267789,-0.0257497722060755
70,74,72,2575439.16200728,0.00620643298521493,0.0120877111525102
75,79,77,-14132558.051931,-0.0340574049478253,-0.0663305435818104
80,84,82,-6596051.98047563,-0.015895523834432,-0.0309582817032224
85,89,87,8870389.50450116,0.0213763457605933,0.0416327854769047
90,94,92,13702316.4180489,0.033020585322058,0.0643112232760269
95,99,97,-10551792.8224381,-0.0254282826759893,-0.0495243784673031
100,104,102,11608906.083166,0.0279757715498387,0.0544858933575278
105,109,107,9945951.96305836,0.023968294512062,0.0466808908708564
110,114,112,-5761023.72665963,-0.0138832274561977,-0.0270391130871617
115,119,117,-12587477.5087571,-0.0303339860492422,-0.0590787755770502
120,124,122,-7543683.96801146,-0.0181791787978454,-0.0354059510223783
125,129,127,-15203513.7576627,-0.0366382520964633,-0.0713570273827043
130,134,132,6788749.07981752,0.0163598957563758,0.0318626971175458
