bin_start_r_px,bin_end_r_px,bin_center_r_px,T_bin_median,H_peak,H_median
0,4,2,51737645.0420776,0.192903704941717,0.266882343486833
5,9,7,147570359.563678,0.550215787291114,0.761223734816663
10,14,12,114137410.983987,0.425561106102914,0.588763939644962
15,19,17,52186279.5182295,0.194576437679048,0.26919656981598
20,24,22,36978130.8664881,0.137872886177248,0.190747186413007
25,29,27,34485496.4737161,0.128579103883141,0.177889235347437
30,34,32,24229355.0575499,0.0903391013477411,0.124984178419301
35,39,37,-13296293.4127249,-0.0495752031083125,-0.0685873108988739
40,44,42,-215610.892412703,-0.00080390477646159,-0.00111220254036671
45,49,47,6440430.66730256,0.0240131327224597,0.0332221775489833
50,54,52,-5756146.6351579,-0.021461781092021,-0.0296923816728691
55,59,57,-85033.7560478933,-0.000317048187512364,-0.000438636278692096
60,64,62,-11612345.2096572,-0.043296605637602,-0.0599008690946588
65,69,67,-1580841.35363239,-0.00589416379104141,-0.00815457767347519
70,74,72,-440308.518811487,-0.00164168942221969,-0.00227127789179535
75,79,77,-359773.186210491,-0.00134141359743464,-0.0018558461828228
80,84,82,3184747.57351299,0.0118743248892592,0.0164281326516098
85,89,87,-2084406.03271551,-0.00777170367894932,-0.0107521547673224
90,94,92,37559588.0588856,0.140040848143574,0.19374656255427
95,99,97,549885.911291461,0.00205024850854935,0.00283651953111713
100,104,102,401702.870077241,0.00149774833896285,0.00207213535259308
105,109,107,14515397.2600026,0.054120629338233,0.074875909683196
110,114,112,-8351188.96769532,-0.0311373911825062,-0.0430785916287314
115,119,117,-3375142.87530799,-0.0125842133870809,-0.017410263637483
